teatop-milpitas,TeaTop,4.5,82 Ranch Dr,Milpitas
ten-ren-tea-co-of-milpitas-milpitas,Ten Ren Tea Co of Milpitas,4.5,1732 N Milpitas Blvd,Milpitas
fantasia-coffee-and-tea-milpitas-2,Fantasia Coffee & Tea,4,528 Barber Ln,Milpitas
tapioca-express-union-city-2,Tapioca Express,3.5,1707 Decoto Rd,Union City
gong-cha-palo-alto,Gong Cha,4,439 Waverley St,Palo Alto
sharetea-san-leandro-3,Sharetea,4,699 Lewelling Blvd,San Leandro
boba-guys-san-francisco-6,Boba Guys,4,429 Stockton St,San Francisco
boba-guys-san-francisco-4,Boba Guys,4,3491 19th St,San Francisco
wonderful-dessert-and-cafe-san-francisco-2,Wonderful Dessert & Cafe,4,2035 Irving St,San Francisco
little-sweet-san-francisco-10,Little Sweet,4,3836 Geary Blvd,San Francisco
teaspoon-san-francisco,Teaspoon,4,2125 Polk St,San Francisco
boba-guys-san-francisco-10,Boba Guys,4,1522 Fillmore St,San Francisco
i-tea-san-francisco-3,i-Tea,4.5,253 Kearny St,San Francisco
boba-guys-san-francisco-7,Boba Guys,4,8 Octavia St,San Francisco
plentea-san-francisco-san-francisco,Plentea - San Francisco,3.5,341 Kearny St,San Francisco
steap-tea-bar-san-francisco-3,Steap Tea Bar,4.5,827 Sacramento St,San Francisco
purple-kow-san-francisco-2,Purple Kow,3.5,3620 Balboa St,San Francisco
omg-tea-san-francisco,OMG Tea,4.5,2891 San Bruno Ave,San Francisco
asha-tea-house-san-francisco,Asha Tea House,4,17 Kearny St,San Francisco
super-cue-cafe-san-francisco,Super Cue Cafe,4,1139 Taraval St,San Francisco
boba-guys-san-francisco-15,Boba Guys,4,1002 16th St,San Francisco
infinitea-san-francisco,InfiniTea,4,5351 Geary Blvd,San Francisco
steep-san-francisco-2,STEEP,4,240 Ritch St,San Francisco
mr-t-cafe-san-francisco,Mr. T Cafe,4,4689 Mission St,San Francisco
tpumps-san-francisco,Tpumps,3.5,1916 Irving St,San Francisco
tj-cups-san-francisco-5,TJ Cups,4,2437 Noriega St,San Francisco
wondertea-san-francisco-4,Wondertea,4.5,2250 Irving St,San Francisco
the-boba-shop-san-francisco-4,The Boba Shop,4.5,2071 3rd St,San Francisco
steep-creamery-and-tea-san-francisco,STEEP Creamery & Tea,4,270 Brannan St,San Francisco
bubblecup-san-francisco-2,Bubblecup,3.5,1900 Clement St,San Francisco
sweet-a-little-san-francisco-12,Sweet A Little,4.5,,San Francisco
tea-hut-san-francisco-2,Tea Hut,4.5,2815 California St,San Francisco
i-tea-san-francisco-2,i-Tea,3.5,2150 Irving St,San Francisco
tancca-san-francisco-3,Tancca,4.5,5015 Geary Blvd,San Francisco
sharetea-san-francisco-3,Sharetea,3.5,135 4th St,San Francisco
mi-tea-san-francisco,Mi-Tea,3.5,645 Irving St,San Francisco
bb-tea-station-san-francisco-3,BB Tea Station,3.5,1314 Noriega St,San Francisco
tea-fm-san-francisco-3,Tea FM,3.5,1353 Taraval St,San Francisco
keep-it-san-francisco-6,Keep it,4.5,1170 Powell St,San Francisco
mr-and-mrs-tea-house-san-francisco,Mr & Mrs Tea House,3.5,544 Clement,San Francisco
e-tea-san-francisco,E Tea,3.5,5344 Geary Blvd,San Francisco
gosu-san-francisco,Gosu,3.5,1014 Clement St,San Francisco
homeplate-boba-san-francisco,Homeplate Boba,4,131-155 King St,San Francisco
cuppa-san-francisco,Cuppa,3.5,2810 Diamond St,San Francisco
super-cue-cafe-san-francisco-2,Super Cue Cafe,3.5,1330 Ocean Ave,San Francisco
puppy-bobar-san-francisco,Puppy Bobar,5,1142 Grant Ave,San Francisco
cool-tea-bar-san-francisco-4,Cool Tea Bar,3.5,103 Waverly Pl,San Francisco
little-heaven-deli-san-francisco,Little Heaven Deli,4.5,2348 Mission St,San Francisco
5-sweets-san-francisco,5 Sweets,4.5,1125 Ocean Ave 102,San Francisco
good-earth-cafe-san-francisco-2,Good Earth Cafe,4.5,835 Kearny St,San Francisco
sweethut-san-francisco,Sweethut,3.5,519 Clement St,San Francisco
frostea-daly-city-2,FrosTea,3.5,6178 Mission St,Daly City
teaone-san-francisco-5,Teaone,3.5,5336 Geary Blvd,San Francisco
fifty-fifty-coffee-and-tea-san-francisco,Fifty / Fifty Coffee and Tea,4,3157 Geary Blvd,San Francisco
honey-creme-and-tea-san-francisco,Honey Creme &Tea,3.5,839 Irving St,San Francisco
bambu-san-francisco-3,BAMBU,4,6050 Geary Blvd,San Francisco
i-tea-oakland,i-Tea,4,388 9th St,Oakland
mr-green-bubble-oakland,Mr Green Bubble,3.5,4299 Piedmont Ave,Oakland
t-and-bowl-oakland,T&Bowl,4,901 Franklin St,Oakland
u-cha-berkeley,U Cha,4,2199 Bancroft Way,Berkeley
the-sweet-booth-oakland,The Sweet Booth,4,388 9th St,Oakland
asha-tea-house-berkeley,Asha Tea House,4,2086 University Ave,Berkeley
i-tea-alameda,i-Tea,4,1626 Park St,Alameda
t4-oakland,T4,3,1068 Webster St,Oakland
wing-man-oakland-3,Wing Man,4,5295 College Ave,Oakland
sharetea-berkeley,Sharetea,4,2440 Bancroft Way,Berkeley
happy-lemon-berkeley-berkeley,Happy Lemon Berkeley,4,2106 Shattuck Ave,Berkeley
milk-tea-lab-pleasant-hill,Milk Tea Lab,4,1972 Contra Costa Blvd,Pleasant Hill
boba-ninja-berkeley,Boba Ninja,4,2519B Durant Ave,Berkeley
sharetea-alameda-4,Sharetea,3.5,2670 5th St,Alameda
purple-kow-berkeley-2,Purple Kow,3.5,2164 Center St,Berkeley
teaway-alameda,Teaway,3.5,2402 Central Ave,Alameda
i-tea-walnut-creek-3,i-Tea,4,1245 N Broadway,Walnut Creek
sweetheart-cafe-oakland,Sweetheart Cafe,3.5,315 9th St,Oakland
gelato-firenze-and-qtea-bar-oakland,Gelato Firenze and QTea Bar,4,478 Lake Park Ave,Oakland
tea-delight-alameda-2,Tea Delight,4,650 Central Ave,Alameda
quickly-oakland-4,Quickly,4.5,1243 33rd Ave,Oakland
i-tea-san-leandro-2,i-Tea,4,177 Pelton Ctr Way,San Leandro
50-tea-oakland,50 Tea,3.5,1004 Webster St,Oakland
tea-press-berkeley-2,Tea Press,4,2552 Bancroft Way,Berkeley
taiwan-bento-oakland-4,Taiwan Bento,4,412 22nd St,Oakland
u-tea-cafe-oakland,U Tea Cafe,3,1728 A Franklin St,Oakland
t4-alameda-2,T4,3.5,1431 A Park St,Alameda
teazzert-alameda,Teazzert,3.5,1342 Park St,Alameda
qteabar-oakland,QTeaBar,5,478 Lake Park Ave,Oakland
the-burrow-brisbane-4,The Burrow,4.5,109 Visitacion,Brisbane
sweet-belly-oakland,Sweet Belly,4.5,435 19th St,Oakland
sancha-bar-oakland-3,Sancha Bar,2.5,251 9th St,Oakland
alice-street-bakery-café-oakland-2,Alice Street Bakery Café,4.5,251 10th St,Oakland
t4-san-leandro,T4,3.5,1443 E 14th St,San Leandro
quickly-oakland-5,Quickly,3.5,3306 Lakeshore Ave,Oakland
bubble-tea-share-time-berkeley,Bubble Tea Share Time,4,1938 Shattuck Ave,Berkeley
shooting-star-cafe-oakland,Shooting Star Cafe,3.5,1022 Webster St,Oakland
pekoe-san-jose,Pekoe,4,3276 S White Rd,San Jose
tea-lyfe-drinks-san-jose-3,Tea Lyfe Drinks,4,989 Story Rd,San Jose
teahee-san-jose,Teahee,4,979 Story Rd,San Jose
boba-pub-san-jose,Boba Pub,4,1576 Branham Ln,San Jose
teaspoon-san-jose-2,Teaspoon,4,4328 Moorpark Ave,San Jose
passion-t-snacks-and-desserts-san-jose,Passion-T Snacks and Desserts,4,2266 Senter Rd,San Jose
pop-up-tea-coffee-and-snacks-san-jose,"Pop Up Tea Coffee & Snacks",4,185 Branham Ln,San Jose
happy-lemon-san-jose-5,Happy Lemon,4.5,3005 Silver Creek Rd,San Jose
boba-bar-san-jose-3,Boba Bar,3.5,310 S 3rd St,San Jose
sinceretea-san-jose-2,Sinceretea,4,392 E Taylor St,San Jose
bobateani-san-jose,Bobateani,5,75 E Santa Clara St,San Jose
soyful-desserts-san-jose-2,Soyful Desserts,4,999 Story Rd,San Jose
one-tea-san-jose-4,One Tea,4,231 E Santa Clara St,San Jose
i-tea-san-jose,i-Tea,4,2936 Aborn Square Rd,San Jose
the-tea-zone-and-fruit-bar-san-jose,The Tea Zone & Fruit Bar,3.5,980 S Winchester Blvd,San Jose
createave-cafe-san-jose-4,Createave Cafe,4,1698 Hostetter Rd,San Jose
tleaf-teapresso-san-jose-3,Tleaf Teapresso,4,860 Blossom Hill Rd,San Jose
katea-san-jose,Katea,4.5,5700 Village Oaks Dr,San Jose
teatop-san-jose-2,TeaTop,4,6158 Bollinger Rd,San Jose
bubbly-san-jose-4,Bubbly,4,1816 Tully Rd,San Jose
vampire-penguin-featuring-jastea-san-jose,Vampire Penguin featuring Jastea,4,2671 Cropley Ave,San Jose
simply-boba-san-jose,Simply Boba,4,3005 Silver Creek Rd,San Jose
happy-lemon-cupertino,Happy Lemon,4.5,20488 Stevens Creek Blvd,Cupertino
amor-cafe-and-tea-san-jose,Amor Cafe and Tea,4,110 E San Fernando St,San Jose
shincha-tea-san-jose-3,Shincha Tea,4,2487 Alvin Ave,San Jose
sharetea-santa-clara-3,Sharetea,4,1171 Homestead Rd,Santa Clara
chatime-san-jose-san-jose-3,ChaTime San Jose,4,311 N Capitol Ave,San Jose
pure-tea-bar-san-jose,Pure Tea Bar,3.5,6195 Santa Teresa Blvd,San Jose
t-spot-boba-drinks-and-snacks-san-jose,T Spot Boba Drinks & Snacks,4,2520 Berryessa Rd,San Jose
meow-tea-san-jose,Meow Tea,4,2857 Senter Rd,San Jose
fantasia-coffee-and-tea-san-jose-4,Fantasia Coffee & Tea,3.5,378 Santana Row,San Jose
monster-boba-cupertino-3,Monster Boba,3.5,10787 S Blaney Ave,Cupertino
teasociety-san-jose,Teasociety,3.5,1658 E Capitol Expy,San Jose
bfresh-snacks-and-drinks-san-jose,BFresh Snacks & Drinks,4,3005 Silver Creek Rd,San Jose
beibay-tea-san-jose,BeiBay Tea,4,1180 Blossom Hill Rd,San Jose
gong-cha-san-jose-19,Gong Cha,3.5,1701 Lundy Ave,San Jose
sweet-gelato-tea-lounge-san-jose,Sweet Gelato Tea Lounge,4.5,979 Story Rd,San Jose
sharetea-san-jose-3,Sharetea,3.5,1728 Hostetter Rd,San Jose
gong-cha-san-jose-8,Gong Cha,3.5,1600 Saratoga Ave,San Jose
soyful-desserts-san-jose-8,Soyful Desserts,4,3005 Silver Creek Rd,San Jose
oooh-san-jose-4,Oooh,4,1783 E Capitol Expwy,San Jose
the-tea-zone-lounge-san-jose,The Tea Zone Lounge,4,403 N Capitol Ave,San Jose
the-moo-bar-santa-clara,The Moo Bar,3.5,1080 Kiely Blvd,Santa Clara
tapioca-express-san-jose-8,Tapioca Express,4,81 Curtner Ave,San Jose
purple-kow-san-jose-4,Purple Kow,3.5,2435 S King Rd,San Jose
heritage-eats-napa,Heritage Eats,4.5,3824 Bel Aire Plz,Napa
yobelle-napa-2,YoBelle,3.5,1000 Main St,Napa
morimoto-napa-napa,Morimoto Napa,4,610 Main St,Napa
napa-noodles-napa,Napa Noodles,3,1124 1st St,Napa
crave-cafe-and-catering-american-canyon,Crave Cafe & Catering,3.5,3419 Broadway St,American Canyon
quickly-american-canyon-3,Quickly,2.5,410 Napa Junction Rd,American Canyon
top-that-frozen-yogurt-sonoma,Top That Frozen Yogurt,3.5,531 Broadway Ave,Sonoma
over-the-top-shop-frozen-yogurt-american-canyon,Over The Top Shop Frozen Yogurt,2.5,5075 Main St,American Canyon
sushi-grill-vallejo,Sushi Grill,4,5184 Sonoma Blvd,Vallejo
palm-thai-bistro-fairfield,Palm Thai Bistro,4.5,5089 Business Center Dr,Fairfield
green-bamboo-restaurant-fairfield,Green Bamboo Restaurant,3.5,4437 Central Pl,Fairfield
thai-kitchen-american-canyon,Thai Kitchen,3.5,3425 Broadway St,American Canyon
sactomofo-sacramento-6,SactoMofo,3.5,,Sacramento
westea-pleasanton,Westea,4,4233 Rosewood Dr,Pleasanton
baotea-cafe-pleasanton-2,BaoTea Cafe,4.5,6654 Koll Center Pkwy,Pleasanton
i-tea-dublin-dublin,i-Tea - Dublin,4,4064 Grafton St,Dublin
aroma-tapioca-tea-and-coffee-pleasanton,Aroma Tapioca Tea & Coffee,3.5,4833 Hopyard Rd,Pleasanton
i-tea-pleasanton,i-Tea,4,915 Main St,Pleasanton
t4-dublin,T4,3.5,3744 Fallon Rd,Dublin
tea-factory-dublin-2,Tea Factory,4,8945 San Ramon Rd,Dublin
icicles-pleasanton,ICICLES,4,600 Main St,Pleasanton
sharetea-dublin-3,Sharetea,4,7375 Amador Valley Blvd,Dublin
cafe-tapioca-dublin,Cafe Tapioca,3.5,7160 Regional St,Dublin
quickly-pleasanton,Quickly,3.5,1 Stoneridge Mall Rd,Pleasanton
letea-pleasanton-2,LeTea,2.5,4299 Rosewood Dr,Pleasanton
tea-breeze-pleasanton,Tea Breeze,3,4275 Rosewood Dr,Pleasanton
360-crepes-pleasanton-3,360 Crepes,4,3120 Santa Rita Rd,Pleasanton
t4-san-ramon-2,T4,3.5,9140 Alcosta Blvd,San Ramon
i-tea-san-ramon-3,i-Tea,4,21001 San Ramon Valley Blvd,San Ramon
snowflake-dublin,Snowflake,3.5,4288 Dublin Blvd,Dublin
quickly-dublin,Quickly,2.5,4288 Dublin Blvd,Dublin
cafe-taiwan-pleasanton-9,Cafe Taiwan,4,3550 Stanley Blvd,Pleasanton
cafe-junction-pleasanton-3,Cafe Junction,4,5321 Hopyard Rd,Pleasanton
o-honey-dublin,O'Honey,4,3862 Fallon Rd,Dublin
the-mix-creamery-dublin-2,The Mix Creamery,4,6601 Dublin Blvd,Dublin
tasty-pot-dublin,Tasty Pot,4,4288 Dublin Blvd,Dublin
ohana-hawaiian-bbq-of-pleasanton-pleasanton,Ohana Hawaiian BBQ of Pleasanton,3,5410 Sunol Blvd,Pleasanton
99-ranch-market-pleasanton,99 Ranch Market,3.5,4299 Rosewood Dr,Pleasanton
menchies-frozen-yogurt-dublin,Menchie's  Frozen Yogurt,4,3742 Fallon Rd,Dublin
blossom-bee-dublin,Blossom Bee,4,7335 Village Pkwy,Dublin
berry-delight-pleasanton,Berry Delight,3,1008 Stoneridge Mall Rd,Pleasanton
new-thai-bistro-pleasanton-2,New Thai Bistro,4.5,4301 D Valley Ave,Pleasanton
tutti-frutti-frozen-yogurt-dublin,Tutti Frutti Frozen Yogurt,3,4930 Dublin Blvd,Dublin
kee-wah-bakery-dublin,Kee Wah Bakery,4,4288 Dublin Blvd,Dublin
blush-organic-frozen-yogurt-dublin,Blush Organic Frozen Yogurt,4,4640 Tassajara Rd,Dublin
koi-palace-dublin,Koi Palace,3.5,Ulferts Ctr,Dublin
berry-and-berry-yogurt-livermore,Berry & Berry Yogurt,2.5,2774 Livermore Outlets Dr,Livermore
pho-saigon-city-pleasanton,Pho Saigon City,3,4275 Rosewood Dr,Pleasanton
yogurtland-dublin,Yogurtland,4,6851 Amador Plz Rd,Dublin
lees-sandwiches-dublin-2,Lee's Sandwiches,3.5,4101 Dublin Blvd,Dublin
osaka-ramen-dublin,Osaka Ramen,3,4288 Dublin Blvd,Dublin
pho-99-dublin-5,Pho 99,4,7459 Amador Valley Blvd,Dublin
tandoori-pizza-dublin,Tandoori Pizza,4,4060 Grafton St,Dublin
halu-shabu-shabu-dublin,Halu Shabu Shabu,3,4288 Dublin Blvd,Dublin
amakara-dublin,Amakara,4,7222 Regional St,Dublin
pho-saigon-garden-dublin,Pho Saigon Garden,3.5,7265 Regional St,Dublin
pho-saigon-noodle-house-san-ramon,Pho Saigon Noodle House,3.5,9150 Alcosta Blvd,San Ramon
85-c-bakery-cafe-newark,85°C Bakery Cafe,3.5,35201 Newark Blvd,Newark
blackball-desserts-union-city-union-city,BlackBall Desserts-Union City,3.5,34563 Alvarado Niles Rd,Union City
tasty-pot-newark,Tasty Pot,4,34909 Newark Blvd,Newark
icicles-newark,ICICLES,4,39055 Cedar Blvd,Newark
che-lo-union-city-2,Che-Lo,4.5,1767 Decoto Blvd,Union City
fusion-mix-frozen-yogurt-fremont-2,Fusion Mix Frozen Yogurt,4.5,4144 Walnut Ave,Fremont
crepe-bar-newark,Crepe Bar,4,2078 Newpark Mall,Newark
q-cup-fremont,Q Cup,3,39129 Fremont Blvd,Fremont
bambu-newark-2,BAMBU,3.5,6058 Mowry Ave,Newark
bambu-union-city-2,BAMBU,3.5,31812-31822 Alvarado Blvd,Union City
storm-crepes-newark,Storm Crepes,4.5,39658 Cedar Blvd,Newark
sweet-orchid-fremont,Sweet Orchid,4.5,34460 Fremont Blvd,Fremont
jenjons-cafe-union-city,Jenjon's Cafe,4,1704 Decoto Rd,Union City
k-pop-cafe-fremont,K-Pop Cafe,4,35041 Fremont Blvd,Fremont
milkcow-fremont-2,Milkcow,3.5,5657 Auto Mall Pkwy,Fremont
boba-guys-san-carlos-2,Boba Guys,4,872 Laurel St,San Carlos
teaquation-redwood-city,Teaquation,4.5,1036 El Camino Real,Redwood City
t4-hayward-3,T4,3.5,1033 B St,Hayward
sweet-spot-castro-valley,Sweet Spot,4.5,20669 Santa Maria Ave,Castro Valley
teaster-hayward-2,Teaster,3.5,410 W A St,Hayward
sharetea-palo-alto-2,Sharetea,4,540 Bryant St,Palo Alto
chatime-redwood-city-2,Chatime,4,2202 Broadway St,Redwood City
eko-coffee-bar-and-tea-house-hayward,Eko Coffee Bar & Tea House,4,1075 B St,Hayward
tea-era-cupertino,Tea Era,4,20916 Homestead Rd,Cupertino
fantasia-coffee-and-tea-cupertino,Fantasia Coffee & Tea,4,10933 N Wolfe Rd,Cupertino
tpumps-cupertino,Tpumps,3.5,19959 Stevens Creek Blvd,Cupertino
super-cue-cafe-cupertino,Super Cue Cafe,3.5,19620 Stevens Creek Blvd,Cupertino
happy-lemon-cupertino-5,Happy Lemon,4.5,10963 N Wolfe Rd,Cupertino
ten-ren-tea-cupertino,Ten Ren Tea,4,10881 N Wolfe Rd,Cupertino
meet-fresh-cupertino,Meet Fresh,3,19449 Stevens Creek Blvd,Cupertino
hechaa-cupertino-4,Hechaa,3.5,10619 S De Anza Blvd,Cupertino
calibear-cyber-cafe-sunnyvale-6,Calibear Cyber Cafe,4.5,1336 S Mary Ave,Sunnyvale
happy-lemon-sunnyvale-2,Happy Lemon,4.5,605 E El Camino Real,Sunnyvale
what8ver-express-cupertino-2,What8ver Express,3.5,10118 Bandley Dr,Cupertino
gong-cha-sunnyvale,Gong Cha,4.5,1641 Hollenbeck Ave,Sunnyvale
cafe-lattea-cupertino,Cafe LaTTea,3.5,19501 Stevens Creek Blvd,Cupertino
t4-cupertino-cupertino,T4 Cupertino,4,19505 Stevens Creek Blvd,Cupertino
sharetea-sunnyvale-3,Sharetea,4,568 El Camino Real,Sunnyvale
tea-chansii-cupertino,Tea Chansii,3,19449 Stevens Creek Blvd,Cupertino
verde-tea-house-cupertino-2,Verde Tea House,3.5,10477 S De Anza Blvd,Cupertino
bubble-tea-time-saratoga,Bubble Tea Time,4,18564 Prospect Rd,Saratoga
the-tea-zone-and-fruit-bar-mountain-view,The Tea Zone & Fruit Bar,4.5,805 El Camino Real,Mountain View
teaspoon-santa-clara-7,Teaspoon,4,3450 El Camino Real,Santa Clara
beastea-santa-clara,Beastea,4,2785 El Camino Real,Santa Clara
teaspoon-mountain-view,Teaspoon,3.5,236 Castro St,Mountain View
tea-annie-mountain-view,Tea Annie,4,1712 Miramonte Ave,Mountain View
verde-tea-cafe-mountain-view,Verde Tea Cafe,3.5,852 Villa St,Mountain View
teafans-sunnyvale,TeaFans,3.5,927 E Arques Ave,Sunnyvale
85-c-bakery-cafe-san-jose-5,85°C Bakery Cafe,3.5,1183 S De Anza Blvd,San Jose
matcha-love-san-jose-6,Matcha Love,4,675 Saratoga Ave,San Jose
bambu-sunnyvale-2,BAMBU,3.5,189 W Washington Ave,Sunnyvale
icicles-cupertino,Icicles,4,19622 Stevens Creek Blvd,Cupertino
sunnywich-cafe-sunnyvale,Sunnywich Cafe,4.5,223 East Maude Ave,Sunnyvale
ocha-tea-café-and-restaurant-mountain-view-2,Ocha Tea Café & Restaurant,3.5,1350 Grant Rd,Mountain View
bubble-bay-tea-santa-clara,Bubble Bay Tea,3.5,4300 Great America Pkwy,Santa Clara
jazen-tea-san-jose-4,Jazen Tea,3.5,1089 S De Anza Blvd,San Jose
comebuy-tea-and-coffee-santa-clara,Comebuy Tea & Coffee,3.5,2712 Augustine Dr,Santa Clara
music-tunnel-ktv-cafe-san-jose-2,Music Tunnel KTV Cafe,3.5,1132 S De Anza Blvd,San Jose
jazen-tea-santa-clara-3,Jazen Tea,3.5,3147 Mission College Blvd,Santa Clara
butterfly-santa-clara,Butterfly,4,1000 Lafayette St,Santa Clara
quickly-cupertino,Quickly,3,21265 Stevens Creek Blvd,Cupertino
california-mochi-santa-clara-4,California Mochi,4,3030 El Camino Real,Santa Clara
t4-livermore-livermore-2,T4 Livermore,4,4010 E Ave,Livermore
orange-tea-livermore,Orange Tea,4.5,6033 Northfront Rd,Livermore
big-fat-straw-cafe-livermore-2,Big Fat Straw Cafe,4,980 Murrieta Blvd,Livermore
donut-wheel-livermore,Donut Wheel,4,2017 1st St,Livermore
t4-san-ramon-3,T4,3,11020 Bollinger Canyon Rd,San Ramon
saigon-cafe-livermore,Saigon Cafe,4,2011 2nd St,Livermore
rice-paper-bistro-livermore,Rice Paper Bistro,3.5,1548 N Vasco Rd,Livermore
menchies-frozen-yogurt-livermore,Menchie's Frozen Yogurt,4,973 E Stanley Blvd,Livermore
la-farfalla-bakery-fremont,La Farfalla Bakery,4,39947 Mission Blvd,Fremont
ice3-creamery-fremont,Ice3 Creamery,4,39957 Mission Blvd,Fremont
yogurt-shop-danville,Yogurt Shop,4,3450 Camino Tassajara Rd,Danville
bean-scene-cafe-fremont-2,Bean Scene Cafe,4,4000 Bay St,Fremont
yogurtland-san-ramon,Yogurtland,4,152 Sunset Dr,San Ramon
chilly-and-munch-mountain-view,Chilly & Munch,4.5,2101 Showers Dr,Mountain View
jazen-tea-mountain-view-3,Jazen Tea,3,220 Castro St,Mountain View
t4-palo-alto-2,T4,3.5,165 University Ave,Palo Alto
pearl-cafe-mountain-view,Pearl Cafe,3.5,506A Showers Dr,Mountain View
tapioca-express-mountain-view,Tapioca Express,3,740 Villa St,Mountain View
teaspoon-palo-alto-7,Teaspoon,4.5,2675 Middlefield Rd,Palo Alto
teaspoon-milpitas,Teaspoon,4,201 W Calaveras Blvd,Milpitas
teasociety-milpitas,Teasociety,3.5,55 N Milpitas Blvd,Milpitas
t4-milpitas,T4,3.5,540 Barber Ln,Milpitas
bcute-tea-drinks-and-finger-foods-milpitas-2,BCUTE tea drinks and finger foods,4,200 Serra Way,Milpitas
poke-xpress-milpitas,Poke Xpress,4.5,1236 S Abel St,Milpitas
happy-lemon-milpitas-6,Happy Lemon,4,279 W Calaveras Blvd,Milpitas
yummi-tea-cafe-san-jose-3,Yummi Tea Cafe,4,2191 Morrill Ave,San Jose
sno-crave-tea-house-milpitas,Sno-Crave Tea House,3.5,1777 N Milpitas Blvd,Milpitas
sancha-bar-milpitas,Sancha Bar,3.5,279 Jacklin Rd,Milpitas
chick-and-tea-milpitas-4,Chick & Tea,3.5,1723 N Milpitas Blvd,Milpitas
t4-san-jose,T4,3.5,1671 N Capitol Ave,San Jose
queens-cafe-milpitas,Queen's Cafe,3.5,372 Barber Ln,Milpitas
the-pennywort-san-jose-5,The Pennywort,4,2056 N Capitol Ave,San Jose
bambu-san-jose-9,BAMBU,4,1688 Hostetter Rd,San Jose
black-pearl-san-jose-2,Black Pearl,3,1055 E Brokaw Rd,San Jose
happiness-cafe-san-jose,Happiness Cafe,4.5,1688 Hostetter Rd,San Jose
85-c-bakery-cafe-milpitas-2,85°C Bakery Cafe,3.5,672 Barber Ln,Milpitas
simpletea-milpitas,Simpletea,3.5,1535 Landess Ave,Milpitas
bambu-milpitas-7,BAMBU,3.5,89 S Park Victoria Dr,Milpitas
fantasia-coffee-and-tea-santa-clara,Fantasia Coffee & Tea,3,3969 Rivermark Plz,Santa Clara
