store_id,ingredient_id,quantity
tea-era-cupertino,95112,19
fantasia-coffee-and-tea-cupertino,52628,93
tpumps-cupertino,5560,88
super-cue-cafe-cupertino,34725,127
happy-lemon-cupertino-5,78278,100
ten-ren-tea-cupertino,48061,25
meet-fresh-cupertino,37524,65
hechaa-cupertino-4,17146,10
calibear-cyber-cafe-sunnyvale-6,59502,111
happy-lemon-sunnyvale-2,78046,36
what8ver-express-cupertino-2,29061,125
gong-cha-sunnyvale,80647,69
cafe-lattea-cupertino,87278,149
t4-cupertino-cupertino,28832,79
sharetea-sunnyvale-3,30885,4
tea-chansii-cupertino,87504,109
verde-tea-house-cupertino-2,95971,63
bubble-tea-time-saratoga,5892,30
the-tea-zone-and-fruit-bar-mountain-view,86787,106
teaspoon-santa-clara-7,10982,26
beastea-santa-clara,6299,9
teaspoon-mountain-view,35315,23
tea-annie-mountain-view,37959,74
verde-tea-cafe-mountain-view,12771,141
teafans-sunnyvale,24136,14
85-c-bakery-cafe-san-jose-5,63488,43
matcha-love-san-jose-6,32774,128
bambu-sunnyvale-2,57060,78
icicles-cupertino,33328,88
sunnywich-cafe-sunnyvale,42514,67
ocha-tea-café-and-restaurant-mountain-view-2,47006,124
bubble-bay-tea-santa-clara,11978,82
jazen-tea-san-jose-4,90296,98
comebuy-tea-and-coffee-santa-clara,70042,52
music-tunnel-ktv-cafe-san-jose-2,56123,143
jazen-tea-santa-clara-3,66656,110
butterfly-santa-clara,55615,136
quickly-cupertino,8791,30
california-mochi-santa-clara-4,61006,147
t4-livermore-livermore-2,91608,139
orange-tea-livermore,19916,39
big-fat-straw-cafe-livermore-2,61523,29
donut-wheel-livermore,93634,6
t4-san-ramon-3,48119,96
saigon-cafe-livermore,81550,50
rice-paper-bistro-livermore,61310,55
menchies-frozen-yogurt-livermore,82258,111
la-farfalla-bakery-fremont,20964,94
ice3-creamery-fremont,40453,6
yogurt-shop-danville,74408,46
bean-scene-cafe-fremont-2,65621,113
yogurtland-san-ramon,57557,59
chilly-and-munch-mountain-view,19780,47
jazen-tea-mountain-view-3,26597,14
t4-palo-alto-2,76193,24
pearl-cafe-mountain-view,39790,103
tapioca-express-mountain-view,57603,109
teaspoon-palo-alto-7,67244,39
teaspoon-milpitas,23228,94
teasociety-milpitas,18443,83
t4-milpitas,6408,52
bcute-tea-drinks-and-finger-foods-milpitas-2,87903,134
poke-xpress-milpitas,54167,64
happy-lemon-milpitas-6,94082,26
yummi-tea-cafe-san-jose-3,89443,112
sno-crave-tea-house-milpitas,68023,35
sancha-bar-milpitas,63781,9
chick-and-tea-milpitas-4,67837,58
t4-san-jose,15035,149
queens-cafe-milpitas,71158,122
the-pennywort-san-jose-5,19226,47
bambu-san-jose-9,71603,79
black-pearl-san-jose-2,57065,110
happiness-cafe-san-jose,8384,89
85-c-bakery-cafe-milpitas-2,86840,35
simpletea-milpitas,27841,119
bambu-milpitas-7,75491,121
fantasia-coffee-and-tea-santa-clara,33964,63
shihlin-taiwan-street-snacks-milpitas,56674,97
quickly-milpitas-2,29779,129
honeyberry-san-jose-9,67542,147
aroma-coffee-and-snacks-milpitas,83585,73
teatime-redwood-city,63320,21
comebuy-drinks-redwood-city,52857,9
teaspoon-redwood-city,7613,117
davidstea-palo-alto-2,64624,58
pokélove-palo-alto,54812,130
bare-bowls-palo-alto,78986,21
tea-time-palo-alto,45663,108
chantal-guillon-macarons-and-teas-palo-alto-2,16374,63
happy-donuts-palo-alto,20592,97
quickly-sunnyvale-4,80728,72
fraiche-palo-alto-2,88635,117
quickly-redwood-city,11590,90
coupa-café-palo-alto-3,86446,36
cream-palo-alto-3,53247,57
ohana-express-redwood-city-2,70924,117
yogurtland-palo-alto,57728,119
coupa-café-lytton-palo-alto,38710,19
green-bakery-and-café-los-altos-11,86605,37
wild-berry-yogurt-menlo-park,76923,131
the-posh-bagel-los-altos,97796,105
paris-baguette-palo-alto,41564,105
taza-deli-and-cafe-redwood-city,36625,91
rojoz-gourmet-wraps-palo-alto-2,90827,130
froyola-redwood-city,36949,142
mr-green-bubble-sunnyvale,56833,38
coupa-cafe-green-library-stanford,69610,140
dohatsuten-palo-alto,68318,113
panda-express-mountain-view-2,72545,49
nekter-juice-bar-mountain-view,46963,24
green-leaf-asian-bistro-and-cafe-redwood-city-2,56435,50
koma-sushi-restaurant-menlo-park-3,16611,88
the-axe-and-palm-stanford,5112,55
cocohodo-sunnyvale-2,97034,59
hotpot-first-sunnyvale,82987,36
bean-scene-sunnyvale,56696,5
sharetea-santa-clara-7,42578,149
jazen-tea-santa-clara-santa-clara,91128,15
honeyberry-santa-clara,59113,149
world-wrapps-2-0-santa-clara,65202,56
youji-fresh-rolls-wine-and-tea-santa-clara,47380,144
frozos-frozen-yogurt-santa-clara,24734,150
cool-tea-bar-south-san-francisco-4,25378,139
tiger-tea-and-juice-burlingame-3,16123,97
aqua-club-dessert-and-beverage-san-bruno,99063,133
bobabia-san-mateo,34692,34
happy-lemon-burlingame-4,54549,23
eggettes-south-san-francisco,41519,58
tpumps-burlingame,99719,68
teaspoon-san-mateo,56792,135
cha-express-san-mateo,49596,41
search-tea-millbrae-5,89002,76
tea-world-pacifica,81502,101
t4-millbrae-10,17843,26
i-tea-burlingame-2,86783,89
boba-dude-half-moon-bay,99876,6
eggettes-millbrae-2,9687,82
gong-cha-san-mateo-2,38365,34
bambu-south-san-francisco,38992,47
super-cue-cafe-san-mateo-2,32714,14
bambu-san-mateo-2,47921,50
eggettes-san-mateo,10774,123
chatime-san-mateo-2,91751,119
tpumps-foster-city,18413,42
creme-brewlee-san-mateo-2,47025,55
chatime-foster-city,71892,72
quickly-san-mateo,47174,120
fresh-nation-desserts-san-mateo-2,20595,48
ya-ua-yogurt-and-boba-tea-belmont-2,41178,88
snacks-san-mateo-2,66059,74
dessert-republic-san-mateo,27151,123
mints-and-honey-san-carlos,12165,29
bambu-millbrae-2,94077,97
icicles-san-mateo,9103,25
kingkat-bar-and-eatery-san-mateo-2,29627,61
quickly-burlingame-2,11317,119
antoines-cookie-shop-san-mateo-3,32116,32
quickly-foster-city-3,28346,49
moo-moo-yogurt-foster-city,84026,5
clear-optometry-san-mateo,15902,20
boiling-point-san-mateo,23929,150
cream-san-mateo,58121,67
poke-island-creasian-kitchen-san-mateo,26826,17
waterfront-cafe-burlingame,25046,137
never-too-latte-san-bruno-2,96194,26
jougert-bar-burlingame,29384,9
mini-coffee-san-mateo-2,6250,138
sweet-indulgence-millbrae-3,73460,86
ramen-dojo-san-mateo,73013,45
quickly-millbrae-4,60450,87
bobo-drinks-fairfield-2,9073,20
t4-tea-for-u-fairfield,19952,77
peace-love-and-boba-vacaville,78424,146
halo-halo-bar-and-boba-station-suisun-city,73987,80
quickly-fairfield-3,15921,118
tutti-frutti-fairfield-2,46918,11
sharetea-concord-3,73709,48
i-tea-pittsburg,5827,52
quickly-vallejo-12,85352,101
teazentea-brentwood-3,57329,130
quickly-vacaville,82842,139
mandro-teahouse-davis,23691,103
tapioca-express-vallejo,84903,27
okashi-fusion-vacaville,94381,18
cafe-tapioca-hercules,82093,57
pho-saigon-no-1-vietnamese-restaurant-fairfield-2,73472,134
ontap-davis,74593,69
t4-antioch-12,51793,145
bobaloca-concord-4,61490,80
teabo-café-davis,41742,61
lazi-cow-davis,45110,125
t4-san-pablo-3,22299,123
t4-concord-concord,70179,30
dragon-snow-el-sobrante,45586,28
cj-fusion-fairfield,46838,37
gong-cha-davis,12115,130
suisun-seafood-center-suisun-city,13619,88
teaone-davis,31407,70
quickly-brentwood-brentwood,16771,83
t4-davis-3,43717,131
bangkok-paradise-fairfield,48927,62
easel-davis-2,45029,94
sharetea-davis-davis-2,51371,112
the-old-teahouse-davis-3,15806,65
pho-lee-hoa-phat-fairfield,71948,142
skyview-noodle-and-tea-pittsburg-3,94035,15
noodle-house-fairfield-2,31765,42
sisig-suisun-city-3,97019,125
rrags-caffe-benicia,81703,54
yumygurt-pinole,74623,121
vampire-penguin-brentwood-2,83159,35
going-green-martinez,53855,7
quickly-antioch-2,90877,61
pho-lee-hoa-phat-vacaville,46016,60
ice-monster-walnut-creek,31131,71
t4-walnut-creek,92228,43
chalogy-tea-bar-walnut-creek-4,64765,140
mr-green-bubble-walnut-creek-2,46887,144
cool-tea-bar-danville-4,75691,22
quickly-concord-5,35728,122
quickly-concord,38149,123
t4-and-poke-walnut-creek,53301,40
i-tea-moraga-3,46903,147
panache-caffe-lafayette,55255,33
coco-swirl-pleasant-hill,42238,68
surf-city-squeeze-concord,18806,92
hello-pho-concord,66485,24
harvest-house-concord,62803,45
i-love-teriyaki-and-sushi-concord-2,84972,79
cornology-walnut-creek-3,52493,126
saigon-bistro-concord,25227,132
99-ranch-market-concord-2,80619,130
double-rainbow-cafe-benicia,36195,135
blue-saigon-pittsburg,16424,67
jollibee-concord,70724,137
pho-huynh-hiep-5-kevins-noodle-house-concord,66183,119
pho-lee-hoa-phat-pleasant-hill,7956,73
pho-huynh-hiep-6-kevins-noodle-house-walnut-creek,60591,122
smitten-ice-cream-lafayette,84040,141
aung-maylika-benicia-4,21403,80
izzyas-frozen-custard-lafayette-2,42359,55
yogurtland-pleasant-hill,6297,82
golden-bakery-pittsburg,52649,139
tutti-frutti-montclair-oakland,32583,22
tangelo-frozen-yogurt-moraga,88185,130
surf-city-squeeze-antioch,21832,32
lv-vietnamese-pho-and-sandwiches-vallejo,47948,115
korea-house-concord,46809,3
yo-sushi-martinez,81782,13
lulus-kitchen-concord,28299,73
pho-hoa-an-pleasant-hill,35663,113
saigon-bistro-restaurant-pittsburg,96752,28
pho-lee-hoa-phat-pittsburg-5,77645,114
viet-nam-noodle-house-antioch-4,74323,150
little-hearty-noodle-moraga-2,83911,134
bubble-loca-richmond,90090,89
ten-ren-tea-co-richmond,66791,78
tala-coffee-and-tea-el-cerrito-2,47165,104
sharetea-san-rafael-3,93471,119
tpartea-boba-drinks-and-banh-mi-san-rafael-3,82296,97
sunny-day-sweet-house-richmond,10273,73
aloha-pure-water-shaved-ice-san-pablo,90072,3
world-wrapps-corte-madera-7,55320,121
quickly-el-cerrito,14510,71
tay-tah-cafe-albany,93806,5
sweetheart-cafe-berkeley,63786,45
teaone-berkeley-berkeley,39167,38
quickly-kobe-bento-richmond-2,86491,149
quickly-san-rafael,65690,133
sivans-cafe-hayward,20667,11
honey-bear-smoothie-tea-and-dessert-hayward,38059,80
sharetea-san-ramon,33625,30
t4-castro-valley,69634,83
quickly-hayward,94999,48
8-twelve-oriental-market-san-leandro,81713,31
polaris-ice-cream-rolls-hayward,23556,75
milkcow-castro-valley,24903,72
satori-tea-company-saratoga,16019,30
creative-sips-san-jose,8515,45
saratoga-bagels-saratoga,17927,91
snowflake-san-jose,33410,4
steepers-campbell,47317,1
yodo-yogurt-campbell,11713,78
caffé-central-santa-clara,42670,94
bar-code-santa-clara,17746,107
jovie-coffee-and-pho-campbell,86390,69
tous-les-jours-santa-clara,22221,105
menchies-frozen-yogurt-vallejo,44825,108
starbread-bakery-vallejo,11071,101
pho-1-vallejo,42421,16
sunshine-bakery-vallejo-3,48671,50
original-red-onion-vallejo-2,84447,72
yo-sushi-vallejo-2,30019,110
midori-japanese-cuisine-vallejo,47426,42
pho-lee-hoa-phat-vallejo-2,16093,126
pho-saigon-village-noodle-house-vallejo,62328,129
pho-lee-hoa-phat-2-vallejo-3,88560,134
chowking-vallejo,6686,46
tacos-jalisco-vallejo,54550,40
menchies-frozen-yogurt-belmont-2,78910,119
fashion-wok-foster-city,22163,52
pho-new-saigon-foster-city,94717,5
hongry-kong-belmont-2,42617,100
marina-food-san-mateo,90910,111
cooking-papa-restaurant-foster-city,35997,98
sheng-kee-bakery-san-mateo-2,81651,8
eat-on-monday-mountain-view-3,60276,106
pho-little-saigon-san-mateo,85869,85
myung-dong-tofu-cabin-san-mateo,66750,144
bagel-street-cafe-redwood-city,85933,94
east-14th-bakery-and-cafe-san-leandro-3,71003,9
tapioca-express-san-leandro,13309,119
quickly-san-leandro,6185,41
sweethoney-dessert-san-leandro-3,29594,143
hanoi-chicken-noodle-san-leandro,29271,23
loving-tea-san-leandro,52322,22
cafe-sorriso-san-leandro,55878,109
d-t-dim-sum-and-tea-san-leandro,75680,89
milk-and-cookie-bar-castro-valley-3,86910,62
sweet-dee-cupcakes-and-snow-ice-san-leandro,30675,42
quickly-san-lorenzo,56736,118
tapioca-express-alameda,8669,64
leisure-cafe-san-leandro-2,9962,97
quickly-castro-valley,47529,60
china-kitchen-express-san-leandro,62287,74
pho-an-hoa-san-leandro,63950,110
tuttimelon-alameda,74339,52
banh-mi-ba-le-oakland,86667,96
pokeatery-castro-valley,93225,63
hot-spot-alameda,60395,8
worlds-fare-donuts-hayward,86661,77
taqueria-los-pericos-san-leandro,59989,135
pho-anh-ha-san-leandro,23147,134
craw-station-san-leandro,62652,103
r-and-d-cafe-san-lorenzo,29969,123
munch-hayward,42497,8
foodnet-supermarket-san-leandro-2,8135,131
yo-bowl-hayward,75681,52
yogurt-hill-hayward-4,41082,93
alohana-hawaiian-grill-san-leandro,39816,73
99-tea-house-fremont-2,28292,63
one-tea-fremont-2,90207,119
royaltea-usa-fremont,37489,55
teco-tea-and-coffee-bar-fremont,76993,104
t-lab-fremont-3,39734,99
q-tea-monster-newark,32186,74
gong-cha-fremont,30056,109
happy-lemon-fremont-2,57057,5
factory-tea-bar-fremont-2,10410,47
super-cue-cafe-fremont,48395,18
milk-and-honey-cafe-fremont,51136,80
tea-island-fremont-2,86914,88
taro-taro-dessert-and-tea-house-fremont,20799,129
i-tea-fremont-2,63684,98
i-tea-newark,97041,1
sharetea-fremont-2,88224,4
urbain-tea-fremont,36826,119
mandro-teahouse-newark-3,11025,134
gong-cha-newark,58604,150
tea-six-fremont-2,57822,22
tata-teahouse-fremont-2,10577,132
tea-station-newark,51126,55
sno-crave-tea-house-fremont,95208,80
boba-queen-fremont,61715,138
t4-tea-fremont-2,80407,107
boba-fitt-drinks-union-city,69362,30
sweet-home-cafe-fremont-2,42488,113
tea-era-mountain-view-2,87046,56
teaspoon-los-altos,79376,29
t4-fremont-8,96585,67
my-delights-fremont,50285,71
t4-fremont-3,53468,76
sno-crave-teahouse-union-city,82650,135
sharetea-union-city-3,50785,150
tastea-san-jose-2,94610,66
i-tea-castro-valley,96811,78
caface-newark-2,89973,88
tea-villa-milpitas,96020,14
mr-green-bubble-union-city,22987,8
pop-tea-bar-palo-alto-2,29323,140
i-tea-milpitas,14503,32
joy-4-tea-union-city,31083,81
sweet-coco-fremont-3,48387,25
icy-blue-fremont,27696,43
teatop-milpitas,83608,116
ten-ren-tea-co-of-milpitas-milpitas,41700,31
fantasia-coffee-and-tea-milpitas-2,10699,117
tapioca-express-union-city-2,71283,103
gong-cha-palo-alto,30459,46
sharetea-san-leandro-3,24263,42
boba-guys-san-francisco-6,80205,97
boba-guys-san-francisco-4,88334,51
wonderful-dessert-and-cafe-san-francisco-2,85550,125
little-sweet-san-francisco-10,43666,105
teaspoon-san-francisco,44442,136
boba-guys-san-francisco-10,7513,18
i-tea-san-francisco-3,76770,104
boba-guys-san-francisco-7,25354,102
plentea-san-francisco-san-francisco,43578,80
steap-tea-bar-san-francisco-3,59559,30
purple-kow-san-francisco-2,6210,58
omg-tea-san-francisco,16408,68
asha-tea-house-san-francisco,25524,60
super-cue-cafe-san-francisco,81003,131
boba-guys-san-francisco-15,55702,36
infinitea-san-francisco,80053,43
steep-san-francisco-2,52305,51
mr-t-cafe-san-francisco,96114,86
tpumps-san-francisco,6837,136
tj-cups-san-francisco-5,51148,36
wondertea-san-francisco-4,72906,3
the-boba-shop-san-francisco-4,15318,58
steep-creamery-and-tea-san-francisco,7373,24
bubblecup-san-francisco-2,48057,14
sweet-a-little-san-francisco-12,13718,55
tea-hut-san-francisco-2,99651,103
i-tea-san-francisco-2,85932,7
tancca-san-francisco-3,91535,78
sharetea-san-francisco-3,17019,70
mi-tea-san-francisco,14397,18
bb-tea-station-san-francisco-3,42924,116
tea-fm-san-francisco-3,75362,112
keep-it-san-francisco-6,70742,13
mr-and-mrs-tea-house-san-francisco,71890,128
e-tea-san-francisco,12786,4
gosu-san-francisco,76562,126
homeplate-boba-san-francisco,97075,49
cuppa-san-francisco,30750,106
super-cue-cafe-san-francisco-2,73720,9
puppy-bobar-san-francisco,43950,89
cool-tea-bar-san-francisco-4,13372,87
little-heaven-deli-san-francisco,35328,126
5-sweets-san-francisco,93723,91
good-earth-cafe-san-francisco-2,84613,26
sweethut-san-francisco,87191,102
frostea-daly-city-2,93024,64
teaone-san-francisco-5,95107,137
fifty-fifty-coffee-and-tea-san-francisco,99195,70
honey-creme-and-tea-san-francisco,91821,127
bambu-san-francisco-3,98050,42
i-tea-oakland,89760,3
mr-green-bubble-oakland,45299,82
t-and-bowl-oakland,51918,6
u-cha-berkeley,98314,147
the-sweet-booth-oakland,70753,99
asha-tea-house-berkeley,38426,107
i-tea-alameda,80938,75
t4-oakland,10046,21
wing-man-oakland-3,9961,74
sharetea-berkeley,32311,131
happy-lemon-berkeley-berkeley,13118,32
milk-tea-lab-pleasant-hill,17968,71
boba-ninja-berkeley,77915,123
sharetea-alameda-4,33027,136
purple-kow-berkeley-2,27378,102
teaway-alameda,42722,35
i-tea-walnut-creek-3,50462,133
sweetheart-cafe-oakland,89036,41
gelato-firenze-and-qtea-bar-oakland,24195,144
tea-delight-alameda-2,27619,20
quickly-oakland-4,78904,128
i-tea-san-leandro-2,62775,34
50-tea-oakland,62659,9
tea-press-berkeley-2,37938,15
taiwan-bento-oakland-4,12372,55
u-tea-cafe-oakland,14131,88
t4-alameda-2,34213,149
teazzert-alameda,37932,1
qteabar-oakland,22428,118
the-burrow-brisbane-4,38722,40
sweet-belly-oakland,8284,63
sancha-bar-oakland-3,30866,86
alice-street-bakery-café-oakland-2,35733,101
t4-san-leandro,40804,83
quickly-oakland-5,28059,78
bubble-tea-share-time-berkeley,76288,18
shooting-star-cafe-oakland,7120,93
pekoe-san-jose,51629,78
tea-lyfe-drinks-san-jose-3,23435,148
teahee-san-jose,17089,97
boba-pub-san-jose,69652,24
teaspoon-san-jose-2,99074,123
passion-t-snacks-and-desserts-san-jose,41177,104
