wonderful-dessert-and-cafe-san-francisco-2,Wonderful Dessert & Cafe,wonderful-dessert-and-cafe-san-francisco-2@bobalover.com,2035 Irving St
little-sweet-san-francisco-10,Little Sweet,little-sweet-san-francisco-10@oxy.edu,3836 Geary Blvd
teaspoon-san-francisco,Teaspoon,teaspoon-san-francisco@gmail.com,2125 Polk St
boba-guys-san-francisco-10,Boba Guys,boba-guys-san-francisco-10@bobalover.com,1522 Fillmore St
i-tea-san-francisco-3,i-Tea,i-tea-san-francisco-3@yahoo.com,253 Kearny St
boba-guys-san-francisco-7,Boba Guys,boba-guys-san-francisco-7@oxy.edu,8 Octavia St
plentea-san-francisco-san-francisco,Plentea - San Francisco,plentea-san-francisco-san-francisco@gmail.com,341 Kearny St
steap-tea-bar-san-francisco-3,Steap Tea Bar,steap-tea-bar-san-francisco-3@aol.com,827 Sacramento St
purple-kow-san-francisco-2,Purple Kow,purple-kow-san-francisco-2@aol.com,3620 Balboa St
omg-tea-san-francisco,OMG Tea,omg-tea-san-francisco@gmail.com,2891 San Bruno Ave
asha-tea-house-san-francisco,Asha Tea House,asha-tea-house-san-francisco@gmail.com,17 Kearny St
super-cue-cafe-san-francisco,Super Cue Cafe,super-cue-cafe-san-francisco@bobalover.com,1139 Taraval St
boba-guys-san-francisco-15,Boba Guys,boba-guys-san-francisco-15@yahoo.com,1002 16th St
infinitea-san-francisco,InfiniTea,infinitea-san-francisco@aol.com,5351 Geary Blvd
steep-san-francisco-2,STEEP,steep-san-francisco-2@bobalover.com,240 Ritch St
mr-t-cafe-san-francisco,Mr. T Cafe,mr-t-cafe-san-francisco@gmail.com,4689 Mission St
tpumps-san-francisco,Tpumps,tpumps-san-francisco@aol.com,1916 Irving St
tj-cups-san-francisco-5,TJ Cups,tj-cups-san-francisco-5@oxy.edu,2437 Noriega St
wondertea-san-francisco-4,Wondertea,wondertea-san-francisco-4@oxy.edu,2250 Irving St
the-boba-shop-san-francisco-4,The Boba Shop,the-boba-shop-san-francisco-4@bobalover.com,2071 3rd St
steep-creamery-and-tea-san-francisco,STEEP Creamery & Tea,steep-creamery-and-tea-san-francisco@gmail.com,270 Brannan St
bubblecup-san-francisco-2,Bubblecup,bubblecup-san-francisco-2@bobalover.com,1900 Clement St
sweet-a-little-san-francisco-12,Sweet A Little,sweet-a-little-san-francisco-12@oxy.edu,
tea-hut-san-francisco-2,Tea Hut,tea-hut-san-francisco-2@bobalover.com,2815 California St
i-tea-san-francisco-2,i-Tea,i-tea-san-francisco-2@yahoo.com,2150 Irving St
tancca-san-francisco-3,Tancca,tancca-san-francisco-3@aol.com,5015 Geary Blvd
sharetea-san-francisco-3,Sharetea,sharetea-san-francisco-3@bobalover.com,135 4th St
mi-tea-san-francisco,Mi-Tea,mi-tea-san-francisco@gmail.com,645 Irving St
bb-tea-station-san-francisco-3,BB Tea Station,bb-tea-station-san-francisco-3@oxy.edu,1314 Noriega St
tea-fm-san-francisco-3,Tea FM,tea-fm-san-francisco-3@gmail.com,1353 Taraval St
keep-it-san-francisco-6,Keep it,keep-it-san-francisco-6@aol.com,1170 Powell St
mr-and-mrs-tea-house-san-francisco,Mr & Mrs Tea House,mr-and-mrs-tea-house-san-francisco@gmail.com,544 Clement
e-tea-san-francisco,E Tea,e-tea-san-francisco@gmail.com,5344 Geary Blvd
gosu-san-francisco,Gosu,gosu-san-francisco@yahoo.com,1014 Clement St
homeplate-boba-san-francisco,Homeplate Boba,homeplate-boba-san-francisco@oxy.edu,131-155 King St
cuppa-san-francisco,Cuppa,cuppa-san-francisco@oxy.edu,2810 Diamond St
super-cue-cafe-san-francisco-2,Super Cue Cafe,super-cue-cafe-san-francisco-2@oxy.edu,1330 Ocean Ave
puppy-bobar-san-francisco,Puppy Bobar,puppy-bobar-san-francisco@yahoo.com,1142 Grant Ave
cool-tea-bar-san-francisco-4,Cool Tea Bar,cool-tea-bar-san-francisco-4@yahoo.com,103 Waverly Pl
little-heaven-deli-san-francisco,Little Heaven Deli,little-heaven-deli-san-francisco@bobalover.com,2348 Mission St
5-sweets-san-francisco,5 Sweets,5-sweets-san-francisco@gmail.com,1125 Ocean Ave 102
good-earth-cafe-san-francisco-2,Good Earth Cafe,good-earth-cafe-san-francisco-2@bobalover.com,835 Kearny St
sweethut-san-francisco,Sweethut,sweethut-san-francisco@bobalover.com,519 Clement St
frostea-daly-city-2,FrosTea,frostea-daly-city-2@bobalover.com,6178 Mission St
teaone-san-francisco-5,Teaone,teaone-san-francisco-5@yahoo.com,5336 Geary Blvd
fifty-fifty-coffee-and-tea-san-francisco,Fifty / Fifty Coffee and Tea,fifty-fifty-coffee-and-tea-san-francisco@bobalover.com,3157 Geary Blvd
honey-creme-and-tea-san-francisco,Honey Creme &Tea,honey-creme-and-tea-san-francisco@oxy.edu,839 Irving St
bambu-san-francisco-3,BAMBU,bambu-san-francisco-3@oxy.edu,6050 Geary Blvd
i-tea-oakland,i-Tea,i-tea-oakland@gmail.com,388 9th St
mr-green-bubble-oakland,Mr Green Bubble,mr-green-bubble-oakland@gmail.com,4299 Piedmont Ave
t-and-bowl-oakland,T&Bowl,t-and-bowl-oakland@aol.com,901 Franklin St
u-cha-berkeley,U Cha,u-cha-berkeley@gmail.com,2199 Bancroft Way
the-sweet-booth-oakland,The Sweet Booth,the-sweet-booth-oakland@gmail.com,388 9th St
asha-tea-house-berkeley,Asha Tea House,asha-tea-house-berkeley@yahoo.com,2086 University Ave
i-tea-alameda,i-Tea,i-tea-alameda@aol.com,1626 Park St
t4-oakland,T4,t4-oakland@oxy.edu,1068 Webster St
wing-man-oakland-3,Wing Man,wing-man-oakland-3@gmail.com,5295 College Ave
sharetea-berkeley,Sharetea,sharetea-berkeley@aol.com,2440 Bancroft Way
happy-lemon-berkeley-berkeley,Happy Lemon Berkeley,happy-lemon-berkeley-berkeley@yahoo.com,2106 Shattuck Ave
milk-tea-lab-pleasant-hill,Milk Tea Lab,milk-tea-lab-pleasant-hill@oxy.edu,1972 Contra Costa Blvd
boba-ninja-berkeley,Boba Ninja,boba-ninja-berkeley@gmail.com,2519B Durant Ave
sharetea-alameda-4,Sharetea,sharetea-alameda-4@gmail.com,2670 5th St
purple-kow-berkeley-2,Purple Kow,purple-kow-berkeley-2@oxy.edu,2164 Center St
teaway-alameda,Teaway,teaway-alameda@bobalover.com,2402 Central Ave
i-tea-walnut-creek-3,i-Tea,i-tea-walnut-creek-3@bobalover.com,1245 N Broadway
sweetheart-cafe-oakland,Sweetheart Cafe,sweetheart-cafe-oakland@bobalover.com,315 9th St
gelato-firenze-and-qtea-bar-oakland,Gelato Firenze and QTea Bar,gelato-firenze-and-qtea-bar-oakland@aol.com,478 Lake Park Ave
tea-delight-alameda-2,Tea Delight,tea-delight-alameda-2@oxy.edu,650 Central Ave
quickly-oakland-4,Quickly,quickly-oakland-4@bobalover.com,1243 33rd Ave
i-tea-san-leandro-2,i-Tea,i-tea-san-leandro-2@oxy.edu,177 Pelton Ctr Way
50-tea-oakland,50 Tea,50-tea-oakland@yahoo.com,1004 Webster St
tea-press-berkeley-2,Tea Press,tea-press-berkeley-2@aol.com,2552 Bancroft Way
taiwan-bento-oakland-4,Taiwan Bento,taiwan-bento-oakland-4@gmail.com,412 22nd St
u-tea-cafe-oakland,U Tea Cafe,u-tea-cafe-oakland@aol.com,1728 A Franklin St
t4-alameda-2,T4,t4-alameda-2@oxy.edu,1431 A Park St
teazzert-alameda,Teazzert,teazzert-alameda@oxy.edu,1342 Park St
qteabar-oakland,QTeaBar,qteabar-oakland@yahoo.com,478 Lake Park Ave
the-burrow-brisbane-4,The Burrow,the-burrow-brisbane-4@yahoo.com,109 Visitacion
sweet-belly-oakland,Sweet Belly,sweet-belly-oakland@yahoo.com,435 19th St
sancha-bar-oakland-3,Sancha Bar,sancha-bar-oakland-3@gmail.com,251 9th St
alice-street-bakery-café-oakland-2,Alice Street Bakery Café,alice-street-bakery-café-oakland-2@yahoo.com,251 10th St
t4-san-leandro,T4,t4-san-leandro@yahoo.com,1443 E 14th St
quickly-oakland-5,Quickly,quickly-oakland-5@gmail.com,3306 Lakeshore Ave
bubble-tea-share-time-berkeley,Bubble Tea Share Time,bubble-tea-share-time-berkeley@gmail.com,1938 Shattuck Ave
shooting-star-cafe-oakland,Shooting Star Cafe,shooting-star-cafe-oakland@oxy.edu,1022 Webster St
pekoe-san-jose,Pekoe,pekoe-san-jose@gmail.com,3276 S White Rd
tea-lyfe-drinks-san-jose-3,Tea Lyfe Drinks,tea-lyfe-drinks-san-jose-3@oxy.edu,989 Story Rd
teahee-san-jose,Teahee,teahee-san-jose@aol.com,979 Story Rd
boba-pub-san-jose,Boba Pub,boba-pub-san-jose@aol.com,1576 Branham Ln
teaspoon-san-jose-2,Teaspoon,teaspoon-san-jose-2@gmail.com,4328 Moorpark Ave
passion-t-snacks-and-desserts-san-jose,Passion-T Snacks and Desserts,passion-t-snacks-and-desserts-san-jose@aol.com,2266 Senter Rd
pop-up-tea-coffee-and-snacks-san-jose,"Pop Up Tea, Coffee & Snacks",pop-up-tea-coffee-and-snacks-san-jose@aol.com,185 Branham Ln
happy-lemon-san-jose-5,Happy Lemon,happy-lemon-san-jose-5@oxy.edu,3005 Silver Creek Rd
boba-bar-san-jose-3,Boba Bar,boba-bar-san-jose-3@aol.com,310 S 3rd St
sinceretea-san-jose-2,Sinceretea,sinceretea-san-jose-2@gmail.com,392 E Taylor St
bobateani-san-jose,Bobateani,bobateani-san-jose@oxy.edu,75 E Santa Clara St
soyful-desserts-san-jose-2,Soyful Desserts,soyful-desserts-san-jose-2@aol.com,999 Story Rd
one-tea-san-jose-4,One Tea,one-tea-san-jose-4@yahoo.com,231 E Santa Clara St
i-tea-san-jose,i-Tea,i-tea-san-jose@bobalover.com,2936 Aborn Square Rd
the-tea-zone-and-fruit-bar-san-jose,The Tea Zone & Fruit Bar,the-tea-zone-and-fruit-bar-san-jose@bobalover.com,980 S Winchester Blvd
createave-cafe-san-jose-4,Createave Cafe,createave-cafe-san-jose-4@oxy.edu,1698 Hostetter Rd
tleaf-teapresso-san-jose-3,Tleaf Teapresso,tleaf-teapresso-san-jose-3@yahoo.com,860 Blossom Hill Rd
katea-san-jose,Katea,katea-san-jose@oxy.edu,5700 Village Oaks Dr
teatop-san-jose-2,TeaTop,teatop-san-jose-2@oxy.edu,6158 Bollinger Rd
bubbly-san-jose-4,Bubbly,bubbly-san-jose-4@gmail.com,1816 Tully Rd
vampire-penguin-featuring-jastea-san-jose,Vampire Penguin featuring Jastea,vampire-penguin-featuring-jastea-san-jose@yahoo.com,2671 Cropley Ave
simply-boba-san-jose,Simply Boba,simply-boba-san-jose@oxy.edu,3005 Silver Creek Rd
happy-lemon-cupertino,Happy Lemon,happy-lemon-cupertino@yahoo.com,20488 Stevens Creek Blvd
amor-cafe-and-tea-san-jose,Amor Cafe and Tea,amor-cafe-and-tea-san-jose@oxy.edu,110 E San Fernando St
shincha-tea-san-jose-3,Shincha Tea,shincha-tea-san-jose-3@bobalover.com,2487 Alvin Ave
sharetea-santa-clara-3,Sharetea,sharetea-santa-clara-3@gmail.com,1171 Homestead Rd
chatime-san-jose-san-jose-3,ChaTime San Jose,chatime-san-jose-san-jose-3@aol.com,311 N Capitol Ave
pure-tea-bar-san-jose,Pure Tea Bar,pure-tea-bar-san-jose@oxy.edu,6195 Santa Teresa Blvd
t-spot-boba-drinks-and-snacks-san-jose,T Spot Boba Drinks & Snacks,t-spot-boba-drinks-and-snacks-san-jose@aol.com,2520 Berryessa Rd
meow-tea-san-jose,Meow Tea,meow-tea-san-jose@yahoo.com,2857 Senter Rd
fantasia-coffee-and-tea-san-jose-4,Fantasia Coffee & Tea,fantasia-coffee-and-tea-san-jose-4@aol.com,378 Santana Row
monster-boba-cupertino-3,Monster Boba,monster-boba-cupertino-3@gmail.com,10787 S Blaney Ave
teasociety-san-jose,Teasociety,teasociety-san-jose@yahoo.com,1658 E Capitol Expy
bfresh-snacks-and-drinks-san-jose,BFresh Snacks & Drinks,bfresh-snacks-and-drinks-san-jose@bobalover.com,3005 Silver Creek Rd
beibay-tea-san-jose,BeiBay Tea,beibay-tea-san-jose@bobalover.com,1180 Blossom Hill Rd
gong-cha-san-jose-19,Gong Cha,gong-cha-san-jose-19@gmail.com,1701 Lundy Ave
sweet-gelato-tea-lounge-san-jose,Sweet Gelato Tea Lounge,sweet-gelato-tea-lounge-san-jose@oxy.edu,979 Story Rd
sharetea-san-jose-3,Sharetea,sharetea-san-jose-3@bobalover.com,1728 Hostetter Rd
gong-cha-san-jose-8,Gong Cha,gong-cha-san-jose-8@yahoo.com,1600 Saratoga Ave
soyful-desserts-san-jose-8,Soyful Desserts,soyful-desserts-san-jose-8@bobalover.com,3005 Silver Creek Rd
oooh-san-jose-4,Oooh,oooh-san-jose-4@yahoo.com,1783 E Capitol Expwy
the-tea-zone-lounge-san-jose,The Tea Zone Lounge,the-tea-zone-lounge-san-jose@bobalover.com,403 N Capitol Ave
the-moo-bar-santa-clara,The Moo Bar,the-moo-bar-santa-clara@oxy.edu,1080 Kiely Blvd
tapioca-express-san-jose-8,Tapioca Express,tapioca-express-san-jose-8@oxy.edu,81 Curtner Ave
purple-kow-san-jose-4,Purple Kow,purple-kow-san-jose-4@aol.com,2435 S King Rd
heritage-eats-napa,Heritage Eats,heritage-eats-napa@bobalover.com,3824 Bel Aire Plz
yobelle-napa-2,YoBelle,yobelle-napa-2@oxy.edu,1000 Main St
morimoto-napa-napa,Morimoto Napa,morimoto-napa-napa@yahoo.com,610 Main St
napa-noodles-napa,Napa Noodles,napa-noodles-napa@gmail.com,1124 1st St
crave-cafe-and-catering-american-canyon,Crave Cafe & Catering,crave-cafe-and-catering-american-canyon@yahoo.com,3419 Broadway St
quickly-american-canyon-3,Quickly,quickly-american-canyon-3@bobalover.com,410 Napa Junction Rd
top-that-frozen-yogurt-sonoma,Top That Frozen Yogurt,top-that-frozen-yogurt-sonoma@aol.com,531 Broadway Ave
over-the-top-shop-frozen-yogurt-american-canyon,Over The Top Shop Frozen Yogurt,over-the-top-shop-frozen-yogurt-american-canyon@bobalover.com,5075 Main St
sushi-grill-vallejo,Sushi Grill,sushi-grill-vallejo@yahoo.com,5184 Sonoma Blvd
palm-thai-bistro-fairfield,Palm Thai Bistro,palm-thai-bistro-fairfield@gmail.com,5089 Business Center Dr
green-bamboo-restaurant-fairfield,Green Bamboo Restaurant,green-bamboo-restaurant-fairfield@aol.com,4437 Central Pl
thai-kitchen-american-canyon,Thai Kitchen,thai-kitchen-american-canyon@oxy.edu,3425 Broadway St
sactomofo-sacramento-6,SactoMofo,sactomofo-sacramento-6@aol.com,
westea-pleasanton,Westea,westea-pleasanton@bobalover.com,4233 Rosewood Dr
baotea-cafe-pleasanton-2,BaoTea Cafe,baotea-cafe-pleasanton-2@aol.com,6654 Koll Center Pkwy
i-tea-dublin-dublin,i-Tea - Dublin,i-tea-dublin-dublin@gmail.com,4064 Grafton St
aroma-tapioca-tea-and-coffee-pleasanton,Aroma Tapioca Tea & Coffee,aroma-tapioca-tea-and-coffee-pleasanton@aol.com,4833 Hopyard Rd
i-tea-pleasanton,i-Tea,i-tea-pleasanton@yahoo.com,915 Main St
t4-dublin,T4,t4-dublin@aol.com,3744 Fallon Rd
tea-factory-dublin-2,Tea Factory,tea-factory-dublin-2@oxy.edu,8945 San Ramon Rd
icicles-pleasanton,ICICLES,icicles-pleasanton@aol.com,600 Main St
sharetea-dublin-3,Sharetea,sharetea-dublin-3@oxy.edu,7375 Amador Valley Blvd
cafe-tapioca-dublin,Cafe Tapioca,cafe-tapioca-dublin@gmail.com,7160 Regional St
quickly-pleasanton,Quickly,quickly-pleasanton@yahoo.com,1 Stoneridge Mall Rd
letea-pleasanton-2,LeTea,letea-pleasanton-2@aol.com,4299 Rosewood Dr
tea-breeze-pleasanton,Tea Breeze,tea-breeze-pleasanton@oxy.edu,4275 Rosewood Dr
360-crepes-pleasanton-3,360 Crepes,360-crepes-pleasanton-3@aol.com,3120 Santa Rita Rd
t4-san-ramon-2,T4,t4-san-ramon-2@yahoo.com,9140 Alcosta Blvd
i-tea-san-ramon-3,i-Tea,i-tea-san-ramon-3@oxy.edu,21001 San Ramon Valley Blvd
snowflake-dublin,Snowflake,snowflake-dublin@yahoo.com,4288 Dublin Blvd
quickly-dublin,Quickly,quickly-dublin@oxy.edu,4288 Dublin Blvd
cafe-taiwan-pleasanton-9,Cafe Taiwan,cafe-taiwan-pleasanton-9@yahoo.com,3550 Stanley Blvd
cafe-junction-pleasanton-3,Cafe Junction,cafe-junction-pleasanton-3@bobalover.com,5321 Hopyard Rd
o-honey-dublin,O'Honey,o-honey-dublin@oxy.edu,3862 Fallon Rd
the-mix-creamery-dublin-2,The Mix Creamery,the-mix-creamery-dublin-2@aol.com,6601 Dublin Blvd
tasty-pot-dublin,Tasty Pot,tasty-pot-dublin@bobalover.com,4288 Dublin Blvd
ohana-hawaiian-bbq-of-pleasanton-pleasanton,Ohana Hawaiian BBQ of Pleasanton,ohana-hawaiian-bbq-of-pleasanton-pleasanton@aol.com,5410 Sunol Blvd
99-ranch-market-pleasanton,99 Ranch Market,99-ranch-market-pleasanton@yahoo.com,4299 Rosewood Dr
menchies-frozen-yogurt-dublin,Menchie's  Frozen Yogurt,menchies-frozen-yogurt-dublin@aol.com,3742 Fallon Rd
blossom-bee-dublin,Blossom Bee,blossom-bee-dublin@bobalover.com,7335 Village Pkwy
berry-delight-pleasanton,Berry Delight,berry-delight-pleasanton@yahoo.com,1008 Stoneridge Mall Rd
new-thai-bistro-pleasanton-2,New Thai Bistro,new-thai-bistro-pleasanton-2@yahoo.com,4301 D Valley Ave
tutti-frutti-frozen-yogurt-dublin,Tutti Frutti Frozen Yogurt,tutti-frutti-frozen-yogurt-dublin@oxy.edu,4930 Dublin Blvd
kee-wah-bakery-dublin,Kee Wah Bakery,kee-wah-bakery-dublin@yahoo.com,4288 Dublin Blvd
blush-organic-frozen-yogurt-dublin,Blush Organic Frozen Yogurt,blush-organic-frozen-yogurt-dublin@aol.com,4640 Tassajara Rd
koi-palace-dublin,Koi Palace,koi-palace-dublin@gmail.com,Ulferts Ctr
berry-and-berry-yogurt-livermore,Berry & Berry Yogurt,berry-and-berry-yogurt-livermore@bobalover.com,2774 Livermore Outlets Dr
pho-saigon-city-pleasanton,Pho Saigon City,pho-saigon-city-pleasanton@aol.com,4275 Rosewood Dr
yogurtland-dublin,Yogurtland,yogurtland-dublin@bobalover.com,6851 Amador Plz Rd
lees-sandwiches-dublin-2,Lee's Sandwiches,lees-sandwiches-dublin-2@yahoo.com,4101 Dublin Blvd
osaka-ramen-dublin,Osaka Ramen,osaka-ramen-dublin@oxy.edu,4288 Dublin Blvd
pho-99-dublin-5,Pho 99,pho-99-dublin-5@aol.com,7459 Amador Valley Blvd
tandoori-pizza-dublin,Tandoori Pizza,tandoori-pizza-dublin@aol.com,4060 Grafton St
halu-shabu-shabu-dublin,Halu Shabu Shabu,halu-shabu-shabu-dublin@aol.com,4288 Dublin Blvd
amakara-dublin,Amakara,amakara-dublin@bobalover.com,7222 Regional St
pho-saigon-garden-dublin,Pho Saigon Garden,pho-saigon-garden-dublin@yahoo.com,7265 Regional St
pho-saigon-noodle-house-san-ramon,Pho Saigon Noodle House,pho-saigon-noodle-house-san-ramon@oxy.edu,9150 Alcosta Blvd
85-c-bakery-cafe-newark,85°C Bakery Cafe,85-c-bakery-cafe-newark@aol.com,35201 Newark Blvd
blackball-desserts-union-city-union-city,BlackBall Desserts-Union City,blackball-desserts-union-city-union-city@aol.com,34563 Alvarado Niles Rd
tasty-pot-newark,Tasty Pot,tasty-pot-newark@gmail.com,34909 Newark Blvd
icicles-newark,ICICLES,icicles-newark@oxy.edu,39055 Cedar Blvd
che-lo-union-city-2,Che-Lo,che-lo-union-city-2@yahoo.com,1767 Decoto Blvd
fusion-mix-frozen-yogurt-fremont-2,Fusion Mix Frozen Yogurt,fusion-mix-frozen-yogurt-fremont-2@aol.com,4144 Walnut Ave
crepe-bar-newark,Crepe Bar,crepe-bar-newark@yahoo.com,2078 Newpark Mall
q-cup-fremont,Q Cup,q-cup-fremont@aol.com,39129 Fremont Blvd
bambu-newark-2,BAMBU,bambu-newark-2@gmail.com,6058 Mowry Ave
bambu-union-city-2,BAMBU,bambu-union-city-2@oxy.edu,31812-31822 Alvarado Blvd
storm-crepes-newark,Storm Crepes,storm-crepes-newark@oxy.edu,39658 Cedar Blvd
sweet-orchid-fremont,Sweet Orchid,sweet-orchid-fremont@yahoo.com,34460 Fremont Blvd
jenjons-cafe-union-city,Jenjon's Cafe,jenjons-cafe-union-city@bobalover.com,1704 Decoto Rd
k-pop-cafe-fremont,K-Pop Cafe,k-pop-cafe-fremont@bobalover.com,35041 Fremont Blvd
milkcow-fremont-2,Milkcow,milkcow-fremont-2@aol.com,5657 Auto Mall Pkwy
boba-guys-san-carlos-2,Boba Guys,boba-guys-san-carlos-2@aol.com,872 Laurel St
teaquation-redwood-city,Teaquation,teaquation-redwood-city@gmail.com,1036 El Camino Real
t4-hayward-3,T4,t4-hayward-3@yahoo.com,1033 B St
sweet-spot-castro-valley,Sweet Spot,sweet-spot-castro-valley@yahoo.com,20669 Santa Maria Ave
teaster-hayward-2,Teaster,teaster-hayward-2@aol.com,410 W A St
sharetea-palo-alto-2,Sharetea,sharetea-palo-alto-2@oxy.edu,540 Bryant St
chatime-redwood-city-2,Chatime,chatime-redwood-city-2@aol.com,2202 Broadway St
eko-coffee-bar-and-tea-house-hayward,Eko Coffee Bar & Tea House,eko-coffee-bar-and-tea-house-hayward@yahoo.com,1075 B St
tea-era-cupertino,Tea Era,tea-era-cupertino@oxy.edu,20916 Homestead Rd
fantasia-coffee-and-tea-cupertino,Fantasia Coffee & Tea,fantasia-coffee-and-tea-cupertino@bobalover.com,10933 N Wolfe Rd
tpumps-cupertino,Tpumps,tpumps-cupertino@aol.com,19959 Stevens Creek Blvd
super-cue-cafe-cupertino,Super Cue Cafe,super-cue-cafe-cupertino@oxy.edu,19620 Stevens Creek Blvd
happy-lemon-cupertino-5,Happy Lemon,happy-lemon-cupertino-5@yahoo.com,10963 N Wolfe Rd
ten-ren-tea-cupertino,Ten Ren Tea,ten-ren-tea-cupertino@oxy.edu,10881 N Wolfe Rd
meet-fresh-cupertino,Meet Fresh,meet-fresh-cupertino@bobalover.com,19449 Stevens Creek Blvd
hechaa-cupertino-4,Hechaa,hechaa-cupertino-4@oxy.edu,10619 S De Anza Blvd
