store_id,ingredient_id,boba_id
sharetea-concord-3,83596,iatqzijjct
one-tea-san-jose-4,93703,gxfgwaeugn
bobateani-san-jose,56428,dzuqisebyf
steep-san-francisco-2,43921,joqmqemlwd
sweetheart-cafe-oakland,48378,pnvhwfxbto
eggettes-san-mateo,61346,ixclvlgobb
teaster-hayward-2,9857,ucpxzckzay
saigon-bistro-restaurant-pittsburg,81146,dhbicljlgb
quickly-kobe-bento-richmond-2,53485,iurkrmoxsx
r-and-d-cafe-san-lorenzo,62957,uxtpwgiqph
westea-pleasanton,9902,ryjrlmhqxx
bagel-street-cafe-redwood-city,5196,ujhwazpqjf
85-c-bakery-cafe-san-jose-5,93372,zlzavbthnl
dragon-snow-el-sobrante,30591,dznlstsysj
happy-lemon-burlingame-4,40146,rmegpugorh
happy-lemon-san-jose-5,41325,wumyflxrgg
t4-fremont-3,89692,ksosvhkrkp
jollibee-concord,90154,zuivgoxmoh
teaone-san-francisco-5,22327,rxfomksiia
gong-cha-san-jose-8,45298,fywkyijtjp
cafe-lattea-cupertino,47914,bbnbitracj
korea-house-concord,48094,fcwfkqbxxs
skyview-noodle-and-tea-pittsburg-3,15646,gcuiyxlqwz
fresh-nation-desserts-san-mateo-2,68899,fsdujoiqcj
tea-chansii-cupertino,74588,lcdqtdtxkx
lv-vietnamese-pho-and-sandwiches-vallejo,7565,olwvcauqlu
dessert-republic-san-mateo,68737,irtxtavskv
sno-crave-tea-house-fremont,22488,mgubwnfxea
t4-alameda-2,71223,nuwtcmnyfo
hello-pho-concord,39862,arckdiebic
mandro-teahouse-newark-3,54693,ibktobvrpz
boiling-point-san-mateo,31633,ybqxihxkis
gong-cha-san-jose-19,21154,tnjjgrisdb
i-tea-san-ramon-3,6741,hhgjtqyqos
pho-lee-hoa-phat-2-vallejo-3,38972,jasdppqkex
quickly-hayward,58459,zfwilqlxah
munch-hayward,43239,sxrxxosxod
taro-taro-dessert-and-tea-house-fremont,96604,wlyskmosln
ontap-davis,8139,fshibebdio
bubble-loca-richmond,94717,dyhriiyizl
menchies-frozen-yogurt-belmont-2,23605,qghdlgosfk
bfresh-snacks-and-drinks-san-jose,27182,yetozosaou
bubbly-san-jose-4,83422,zupanjstwa
one-tea-fremont-2,87809,gigyriaeqs
lees-sandwiches-dublin-2,75479,bypzsdahwp
85-c-bakery-cafe-milpitas-2,62431,gwxioiyewa
teco-tea-and-coffee-bar-fremont,76541,bpvmqsyhxd
craw-station-san-leandro,15522,fosimuqgft
tasty-pot-newark,49268,opzakktmmf
creme-brewlee-san-mateo-2,5591,bujappkgfk
tiger-tea-and-juice-burlingame-3,48077,mzfyfiaipi
easel-davis-2,10611,pmoqguvhmi
teasociety-san-jose,32998,ccgdjfhcqs
tea-breeze-pleasanton,41891,wsvokthpie
pho-anh-ha-san-leandro,15136,drqgvaocox
sweet-coco-fremont-3,89166,yqvfctfhdx
clear-optometry-san-mateo,30518,fdldwrtmxj
i-tea-walnut-creek-3,68045,wjwyyaqdep
lazi-cow-davis,8258,yqnhbfmcqq
world-wrapps-2-0-santa-clara,26016,yjjkwsyuhk
caffé-central-santa-clara,72023,fpluuocktg
t4-alameda-2,39879,lkjqfpitbh
skyview-noodle-and-tea-pittsburg-3,79264,dxxkzghebt
t4-millbrae-10,10342,htrjesfpar
jollibee-concord,7566,imhkwqatxf
super-cue-cafe-san-mateo-2,25849,hehdmgyhdx
osaka-ramen-dublin,61811,gilrxjubrh
mr-and-mrs-tea-house-san-francisco,99688,vuajuropzg
teaquation-redwood-city,92215,psyheitbat
quickly-castro-valley,93958,oxfqfedtxz
steepers-campbell,61293,lqudhzsrls
world-wrapps-corte-madera-7,61335,pmqqnyowur
5-sweets-san-francisco,47775,njxpekesui
ten-ren-tea-cupertino,23425,mepneenfnd
sweetheart-cafe-berkeley,92160,nghikpmsnw
tapioca-express-union-city-2,91429,uyrndvjzis
e-tea-san-francisco,14974,kjsgptzpub
bambu-milpitas-7,94632,rzchxstrdl
t4-fremont-3,91083,pdwphqkoba
la-farfalla-bakery-fremont,24808,axwdnrblcx
froyola-redwood-city,82413,pdfdmwcodo
quickly-pleasanton,34953,qmdnczjluq
pho-little-saigon-san-mateo,62039,bajxmylaly
quickly-san-leandro,84931,bqrztuzxnm
eggettes-south-san-francisco,53842,quskxxkipt
quickly-brentwood-brentwood,44458,hquyhtdeuu
sheng-kee-bakery-san-mateo-2,72309,svzwqwpggd
sharetea-san-jose-3,35413,izvbfgohvj
quickly-burlingame-2,74868,xsuzcffdlc
green-bamboo-restaurant-fairfield,25333,dvvhksdgms
good-earth-cafe-san-francisco-2,35625,xbgekgzxoz
99-tea-house-fremont-2,72302,iypkjutrdv
the-pennywort-san-jose-5,57314,ztdbvzlooo
hello-pho-concord,77536,suyrnmfrov
verde-tea-house-cupertino-2,99376,tzwlubxklx
music-tunnel-ktv-cafe-san-jose-2,17947,gddgnarkiz
i-tea-fremont-2,60819,zsivakvdzi
the-old-teahouse-davis-3,33302,cchgymezou
teaone-san-francisco-5,48367,xebjrapcdr
the-boba-shop-san-francisco-4,69779,ofpvmgeops
hot-spot-alameda,32568,xlkrkxcujt
cafe-tapioca-hercules,69481,nemlepwszu
i-tea-oakland,48114,gxtvrruita
noodle-house-fairfield-2,43501,fcjsvyjzml
t4-san-pablo-3,58143,yftpydyjiq
i-tea-fremont-2,46020,dhbukjcswf
t4-fremont-3,9234,fkekmcptja
yogurt-shop-danville,61984,plsttldafe
tea-chansii-cupertino,37140,cjmdevaflo
mr-green-bubble-walnut-creek-2,15824,cprkwsquaj
music-tunnel-ktv-cafe-san-jose-2,47657,ipihulucue
eggettes-south-san-francisco,24426,ppncqurvzr
the-pennywort-san-jose-5,55845,vdvymlozlt
tleaf-teapresso-san-jose-3,72261,kxvnyhtrgk
tpumps-burlingame,14061,tsjbwzfoad
caface-newark-2,68776,uuxkuecedn
world-wrapps-2-0-santa-clara,65437,pskpoualks
amakara-dublin,9386,cgpunhqhxs
i-tea-pleasanton,48240,tyqdhtumpi
milk-and-honey-cafe-fremont,33297,vrhxzhfirm
morimoto-napa-napa,72764,opfcfipyyf
quickly-foster-city-3,37939,jeopfqxmjh
chatime-redwood-city-2,18123,qiyphcagtq
new-thai-bistro-pleasanton-2,24950,nunpntipzw
85-c-bakery-cafe-san-jose-5,6196,mkxdtpcczu
teafans-sunnyvale,88891,pzeineoclc
sinceretea-san-jose-2,25571,yskaotewfb
morimoto-napa-napa,74602,hhfcfnkatk
teazentea-brentwood-3,24784,detyvymclz
tutti-frutti-fairfield-2,6720,pjwdffafar
milk-and-honey-cafe-fremont,9863,anhmrannpd
t4-livermore-livermore-2,7913,xbqdbvvofa
t4-livermore-livermore-2,41736,flyvhswcyi
sharetea-concord-3,50824,ncregphfwk
tea-breeze-pleasanton,80650,yvveedpgvh
bubble-loca-richmond,75589,rdujjmepmo
tea-delight-alameda-2,12697,sbrryoredj
chick-and-tea-milpitas-4,29168,sgxffouxcn
quickly-oakland-5,82321,xpnvtwypbk
puppy-bobar-san-francisco,6419,rwigbhpfvb
wonderful-dessert-and-cafe-san-francisco-2,90590,gpocyakuww
froyola-redwood-city,95908,uhmyzjgdql
tous-les-jours-santa-clara,86772,yvikhfozua
new-thai-bistro-pleasanton-2,14991,udismrwiuu
sharetea-davis-davis-2,75744,vgiujalnft
bubble-tea-share-time-berkeley,81113,pqfmuvrhov
good-earth-cafe-san-francisco-2,86078,nteqldxzlt
teaspoon-los-altos,18725,vuoztsspua
dohatsuten-palo-alto,55031,ewwmymoowt
bb-tea-station-san-francisco-3,56884,vylaubawhz
t4-san-jose,64096,ibojwdefhm
kingkat-bar-and-eatery-san-mateo-2,75734,cyrfcllppa
china-kitchen-express-san-leandro,20972,owuihbsnxg
good-earth-cafe-san-francisco-2,73318,cfqttekiij
fifty-fifty-coffee-and-tea-san-francisco,33494,rnmugyiywa
comebuy-tea-and-coffee-santa-clara,76400,ybkhutmnis
mr-green-bubble-walnut-creek-2,37859,idtxaxewll
milkcow-castro-valley,51689,ctsauibhbp
the-tea-zone-lounge-san-jose,59930,uqokbiiuob
lazi-cow-davis,28479,zahikrogsf
sweetheart-cafe-oakland,31400,pjgvcfrfnw
d-t-dim-sum-and-tea-san-leandro,32150,gocnzfepvy
cooking-papa-restaurant-foster-city,21999,rxaqkqyazt
sweet-coco-fremont-3,28472,rkthyluqxe
i-tea-castro-valley,40403,xdymjgpmdn
bangkok-paradise-fairfield,55942,nbatopmylt
the-tea-zone-and-fruit-bar-san-jose,67680,fivrwyarej
smitten-ice-cream-lafayette,56555,acbvpaznnr
honeyberry-santa-clara,69600,beaqbyymam
gong-cha-fremont,63557,xubnuclgoh
taro-taro-dessert-and-tea-house-fremont,71510,qxrcxrolzr
new-thai-bistro-pleasanton-2,77975,hszliqlhiq
suisun-seafood-center-suisun-city,43909,jqkuguafdf
chilly-and-munch-mountain-view,22980,ysvhwsmkyq
createave-cafe-san-jose-4,59385,hiqqscdkbt
ice-monster-walnut-creek,96509,cuixldfiqp
tapioca-express-san-jose-8,51908,tfnuguhkrk
tandoori-pizza-dublin,37165,fklylqwrta
steepers-campbell,25507,xfscbygpfd
tasty-pot-dublin,15826,iclmhmhteg
honey-bear-smoothie-tea-and-dessert-hayward,91356,rcsjgxehbw
super-cue-cafe-san-francisco-2,6404,yikuzuzwrb
tea-delight-alameda-2,35115,ayvapswolv
t4-san-ramon-3,30791,rprvkzaldd
quickly-dublin,17374,solgubonej
queens-cafe-milpitas,92763,ddxkngwdtm
snowflake-dublin,73761,qsdvphpwnc
east-14th-bakery-and-cafe-san-leandro-3,88358,lhvgaodhze
amor-cafe-and-tea-san-jose,60966,rweiwoyoei
sharetea-alameda-4,53498,prsbsrfvtp
chowking-vallejo,77607,bpbhqukuuz
mints-and-honey-san-carlos,78060,opntwrickg
super-cue-cafe-san-francisco,31609,qjvfcdwoxc
clear-optometry-san-mateo,8146,qllyynfxni
honeyberry-santa-clara,96793,yyouombanf
quickly-foster-city-3,31581,wfflgbhxaq
fantasia-coffee-and-tea-milpitas-2,93200,qqcsbivugu
aung-maylika-benicia-4,50188,fgxtojbeqr
cha-express-san-mateo,48411,spnjvvsunv
pho-lee-hoa-phat-fairfield,44722,nywnhnfjdi
bfresh-snacks-and-drinks-san-jose,27887,psnrsimqht
the-sweet-booth-oakland,14756,zyfyavkqkg
dessert-republic-san-mateo,10166,bzdjthohdw
happy-lemon-san-jose-5,39120,xqprvmsyzc
yummi-tea-cafe-san-jose-3,49005,xdmbrksnkp
chatime-san-mateo-2,64057,osbavpgady
t4-palo-alto-2,19453,zteymriyxa
tea-island-fremont-2,38506,kuhpndcbxv
t4-san-leandro,64993,yapfqgeumg
worlds-fare-donuts-hayward,12299,vgafxgcspi
mr-green-bubble-union-city,5438,gwblvnkstf
pho-lee-hoa-phat-vallejo-2,86110,wiyzwevjph
yo-bowl-hayward,19367,yeqqsfwqpf
california-mochi-santa-clara-4,59883,tyjjpsdpzx
t4-san-pablo-3,76207,pfydyuhxtt
vampire-penguin-brentwood-2,50011,uimzszzhef
happy-lemon-milpitas-6,70879,iukipmrrbu
thai-kitchen-american-canyon,90492,swevspqjaj
donut-wheel-livermore,36458,pbzdjpieqq
the-mix-creamery-dublin-2,72154,vkddrzvjuk
sharetea-alameda-4,56228,vztavrjisl
sweetheart-cafe-berkeley,63205,vnqowudzrf
bambu-sunnyvale-2,85023,mfyfahdvyr
hotpot-first-sunnyvale,79066,jkpjjhaabf
pho-saigon-village-noodle-house-vallejo,66831,ceighrfknu
happy-lemon-cupertino-5,63809,njtblzwesj
sharetea-san-ramon,49781,hayzwwjkkf
icy-blue-fremont,17408,jyrzpezgii
yumygurt-pinole,63530,wwuxxbfzby
sharetea-fremont-2,15743,ujghncfepq
bambu-union-city-2,33784,ezbeyyubax
sharetea-san-ramon,95244,uqfrfgbeff
jenjons-cafe-union-city,33755,oowysitawf
plentea-san-francisco-san-francisco,61514,kmdhttjxrt
yobelle-napa-2,57676,okeicdoadc
chalogy-tea-bar-walnut-creek-4,25297,kdfejwylag
cafe-tapioca-dublin,49367,njrdwvmmxd
what8ver-express-cupertino-2,99594,txvgfrkane
t4-san-leandro,50723,yyhmhpjcbo
8-twelve-oriental-market-san-leandro,70976,jrghpmatag
waterfront-cafe-burlingame,19394,ynpktoxgsb
i-tea-alameda,12878,mvmjviuzol
teatop-milpitas,57838,egpzzgxsxp
tay-tah-cafe-albany,59258,mimcygksjl
china-kitchen-express-san-leandro,71784,egptvbcvua
izzyas-frozen-custard-lafayette-2,55941,lgciawfonp
sharetea-sunnyvale-3,72750,jcabzkbuak
mr-and-mrs-tea-house-san-francisco,70597,hnlrzpwerj
r-and-d-cafe-san-lorenzo,59512,laetjwsewo
jougert-bar-burlingame,22927,cgkuzysdhp
panda-express-mountain-view-2,5225,ldabtcvamr
koi-palace-dublin,74982,xdgaaheean
crave-cafe-and-catering-american-canyon,63651,hdwggprrng
tancca-san-francisco-3,69287,xzcpcsrqkt
coco-swirl-pleasant-hill,37603,kxnzvljawm
tea-lyfe-drinks-san-jose-3,88729,orkjhjwtlx
foodnet-supermarket-san-leandro-2,56398,ajybkfmczo
sweet-belly-oakland,45772,ulvjdeabiu
jazen-tea-san-jose-4,98306,aqkgxsgsnl
yogurtland-pleasant-hill,74761,jwmrdkzqnm
tandoori-pizza-dublin,17400,vhsfmhflvq
wondertea-san-francisco-4,49933,aprtffzvil
harvest-house-concord,28508,bokfntghtm
cooking-papa-restaurant-foster-city,9481,dvmfwnvcyt
quickly-concord,14596,hhggnybtsy
bubblecup-san-francisco-2,5123,wzkmioofnv
snowflake-san-jose,74581,sdxpghxnyp
cream-san-mateo,48485,gphyuyymvr
happy-lemon-cupertino,63030,nbzkmgxyjv
i-tea-pleasanton,19918,pverkfhunl
cafe-lattea-cupertino,88429,gytxkyrpen
gong-cha-newark,99913,wzrhdjzfig
bambu-milpitas-7,21897,ifpgsmuhjr
tpumps-foster-city,5372,hinzujrmmj
golden-bakery-pittsburg,80238,znerkpyxid
fifty-fifty-coffee-and-tea-san-francisco,39410,lyqdofcyaj
t4-alameda-2,7733,hletzshxmt
che-lo-union-city-2,88867,szxzezndhw
cornology-walnut-creek-3,6433,ajyuxdegut
one-tea-san-jose-4,96383,mcfzftdgri
chantal-guillon-macarons-and-teas-palo-alto-2,94086,nxeooyfdcg
tea-era-cupertino,81454,brgqqelast
quickly-burlingame-2,64347,oesvnmuwkb
r-and-d-cafe-san-lorenzo,69345,cyqgsqvsjo
yogurtland-palo-alto,67693,wxvnehqhqy
saigon-bistro-restaurant-pittsburg,82144,rvufupcyco
steap-tea-bar-san-francisco-3,30388,kznfxigono
t4-tea-for-u-fairfield,80440,ojauiwzmqj
osaka-ramen-dublin,46509,caihzhlshs
froyola-redwood-city,70453,nmyrludpfs
teaspoon-san-jose-2,45132,gsmbykhuor
the-burrow-brisbane-4,21446,icblhvlicq
quickly-antioch-2,83429,kjrairmbnz
noodle-house-fairfield-2,45092,wiwkbwgzaz
aloha-pure-water-shaved-ice-san-pablo,51311,wutfrtjnzy
suisun-seafood-center-suisun-city,89685,unomflxczx
i-tea-pittsburg,58849,xwlkrvlgwa
happy-lemon-berkeley-berkeley,30445,ennzxypzjt
t4-dublin,26358,avbphduutb
teaspoon-milpitas,12404,wvlzdytlta
wondertea-san-francisco-4,20705,ibycfrmnrx
chantal-guillon-macarons-and-teas-palo-alto-2,7711,gqoyxvbuvg
quickly-foster-city-3,77540,gsngpdcgpn
chalogy-tea-bar-walnut-creek-4,16239,upaqojovle
comebuy-drinks-redwood-city,41110,iblruryibv
vampire-penguin-featuring-jastea-san-jose,34000,fclhywhkrr
happy-lemon-burlingame-4,50459,ozcxnnvyjv
360-crepes-pleasanton-3,51829,rvuoueuqfz
yo-sushi-vallejo-2,65093,iwjmgcfyqo
quickly-castro-valley,80977,klddgpssyi
mints-and-honey-san-carlos,56869,uzpctiyrbi
pokélove-palo-alto,22237,zvnxdcdfpl
soyful-desserts-san-jose-2,7834,wyclolopmh
mr-green-bubble-walnut-creek-2,59272,zdgpjtcaor
sharetea-santa-clara-7,75148,ehbasjykcs
alohana-hawaiian-grill-san-leandro,31980,gfrwxmvxxv
snacks-san-mateo-2,41793,esxspbqhob
peace-love-and-boba-vacaville,70888,dfdfjxcswa
teatop-milpitas,87755,ualmznrkej
okashi-fusion-vacaville,30444,jfzodojyfp
gong-cha-davis,17179,hzfqpxtmtk
tapioca-express-alameda,73061,tsdpfxndhx
happy-lemon-milpitas-6,42666,dfuxstscco
chick-and-tea-milpitas-4,9502,fnamzeanir
i-tea-walnut-creek-3,91652,ndzndudxod
sancha-bar-milpitas,42788,bozrdcopto
gelato-firenze-and-qtea-bar-oakland,8802,xmhvlzhavg
craw-station-san-leandro,61454,jilkurfyye
bambu-newark-2,90821,daoafnuhuc
calibear-cyber-cafe-sunnyvale-6,38796,wzmxtvwewn
coupa-café-palo-alto-3,19357,vnkcofurdw
teaspoon-san-jose-2,14056,mxiryvwnxa
eat-on-monday-mountain-view-3,99080,wropxmzzom
palm-thai-bistro-fairfield,42516,unerwwhobl
pho-saigon-no-1-vietnamese-restaurant-fairfield-2,54929,ynzplurthi
viet-nam-noodle-house-antioch-4,61973,pavmodksit
tpartea-boba-drinks-and-banh-mi-san-rafael-3,83073,aaowdtxiuz
gong-cha-fremont,11107,yrdmqvjhtu
foodnet-supermarket-san-leandro-2,91285,ygqpvmhbmw
skyview-noodle-and-tea-pittsburg-3,12209,zkyfelpabk
davidstea-palo-alto-2,95017,yfajuklase
easel-davis-2,8788,ulndadmifh
big-fat-straw-cafe-livermore-2,20254,ltttqvxvyo
poke-island-creasian-kitchen-san-mateo,79261,hijucdddzp
berry-delight-pleasanton,91167,ftvrigwmyw
boba-guys-san-francisco-15,93449,bzbajvousv
sactomofo-sacramento-6,18174,jagxgzmxrx
going-green-martinez,50007,huncvplwgc
alohana-hawaiian-grill-san-leandro,22096,znybeywlgu
pho-saigon-no-1-vietnamese-restaurant-fairfield-2,88388,yxrmluidno
leisure-cafe-san-leandro-2,48891,amelezzmfp
fresh-nation-desserts-san-mateo-2,53031,ubbwbzqtyw
super-cue-cafe-san-francisco-2,86266,apjawfezja
aqua-club-dessert-and-beverage-san-bruno,94340,kwpdcnwxlw
halo-halo-bar-and-boba-station-suisun-city,38674,kqsqplrhil
world-wrapps-corte-madera-7,72345,tyjnrlfefj
happy-lemon-milpitas-6,75435,iwwnrivlre
gong-cha-sunnyvale,30318,nuhuqrdcmq
360-crepes-pleasanton-3,70088,iawhlmixdo
quickly-dublin,96153,pgzsampuoc
boba-fitt-drinks-union-city,94692,phaposktfr
ocha-tea-café-and-restaurant-mountain-view-2,77322,gejmuoisgh
pho-saigon-city-pleasanton,6182,xjqpgondli
poke-island-creasian-kitchen-san-mateo,5216,stdxkoxiqp
cafe-junction-pleasanton-3,92900,oaxsoyssyl
i-tea-pleasanton,10691,gnkggwwzdu
honeyberry-santa-clara,69245,naczhwgvcm
i-tea-oakland,29590,hntdewaeak
frostea-daly-city-2,23682,dtuavdgnif
antoines-cookie-shop-san-mateo-3,99241,qfhrzcgkcu
sweet-indulgence-millbrae-3,59105,lhzisavqup
wing-man-oakland-3,76526,yfwklfatae
kingkat-bar-and-eatery-san-mateo-2,55570,dldrstkigo
hotpot-first-sunnyvale,58782,andcxmkqyk
tea-breeze-pleasanton,20598,llzqzczujq
midori-japanese-cuisine-vallejo,10858,nycawwshdy
sinceretea-san-jose-2,10639,jpmivkiepe
cream-palo-alto-3,55300,xxoaiqfggf
caffé-central-santa-clara,22820,mpymjzfbah
jazen-tea-san-jose-4,98959,muoxrusnqt
ocha-tea-café-and-restaurant-mountain-view-2,95716,qzjsulmhne
tj-cups-san-francisco-5,20765,xpsnwenmph
tea-six-fremont-2,11531,hlgmbafvth
pho-saigon-city-pleasanton,57702,wgozjdnlsp
the-pennywort-san-jose-5,81313,lkpojtcxsb
quickly-sunnyvale-4,64417,ltxdopikcw
sweetheart-cafe-oakland,17081,mglvigdpni
teabo-café-davis,77040,dzimoohvti
milkcow-fremont-2,79899,bhkqypjhvw
fifty-fifty-coffee-and-tea-san-francisco,76310,sdxhadmcln
i-tea-san-francisco-3,22475,qhpbzwkwhw
chatime-san-jose-san-jose-3,84809,evxluctrrm
cooking-papa-restaurant-foster-city,37002,jcbcpwkvnu
super-cue-cafe-san-mateo-2,34480,fnsgtwcxow
berry-delight-pleasanton,92099,yanrkohkys
tastea-san-jose-2,43419,dwmnybuztb
chatime-san-mateo-2,33069,dvuhiftvsu
i-tea-san-leandro-2,20403,tzubgajqgc
t4-dublin,92793,qiqevpydim
d-t-dim-sum-and-tea-san-leandro,19369,jhrvqolewd
bambu-milpitas-7,59405,wpbczyrces
tpumps-cupertino,16602,zypczclzis
t4-san-jose,38762,lfgfitsjnp
bambu-san-jose-9,18496,mdumazcsww
sno-crave-teahouse-union-city,32366,foevzxlooo
aqua-club-dessert-and-beverage-san-bruno,41992,lwrdeyulwu
i-tea-walnut-creek-3,51914,sijetywajm
pho-1-vallejo,36528,hpgbtvseen
teaquation-redwood-city,58068,qrlzswypnx
bfresh-snacks-and-drinks-san-jose,36019,pgjghxnbxt
gong-cha-newark,47615,uqchhglpkz
soyful-desserts-san-jose-2,14837,adugwdnayv
tastea-san-jose-2,88209,aleyvygcmb
t4-livermore-livermore-2,57907,txkhtawvip
katea-san-jose,72353,tftxuflmvy
pokeatery-castro-valley,75418,zlwrxstcdd
mr-and-mrs-tea-house-san-francisco,59266,yejkkihwyg
what8ver-express-cupertino-2,69819,mjhkeusqlw
t4-davis-3,62820,sicwcyndjz
85-c-bakery-cafe-milpitas-2,24525,zxyvmcmwxj
tangelo-frozen-yogurt-moraga,18470,qonbliemjn
tea-era-cupertino,28192,xmgquxxzth
bambu-san-francisco-3,47716,vfiyanpvlz
marina-food-san-mateo,86656,yzvpybvbev
saigon-cafe-livermore,87619,aiupahkrfj
fashion-wok-foster-city,88717,pvrznpyueq
icicles-newark,55317,lahyxwapoo
pho-anh-ha-san-leandro,19882,uslflrepgp
fresh-nation-desserts-san-mateo-2,24461,tmatvkjjet
tuttimelon-alameda,91642,wsoqtovdyd
sweet-spot-castro-valley,96809,bbvmixxbyc
cafe-taiwan-pleasanton-9,51453,qrgfodnorx
hotpot-first-sunnyvale,37363,qoobvngxkr
golden-bakery-pittsburg,99988,hnrflgubof
i-tea-walnut-creek-3,94499,uyxzexuokk
panache-caffe-lafayette,91770,uqevodltvh
hanoi-chicken-noodle-san-leandro,59511,dwzhhiztge
i-tea-newark,65614,jhfrmctoqc
noodle-house-fairfield-2,25958,pkrkjpszon
t4-alameda-2,48196,cvetayspcv
super-cue-cafe-fremont,18861,fwfbhqxhtc
koma-sushi-restaurant-menlo-park-3,17713,fduuiwhqhu
cafe-sorriso-san-leandro,68021,nfyipgazea
d-t-dim-sum-and-tea-san-leandro,70442,yghddksubj
tea-island-fremont-2,23590,ljavvaoyyy
gelato-firenze-and-qtea-bar-oakland,9463,hquaantbbv
pho-an-hoa-san-leandro,44539,xgzauruujb
foodnet-supermarket-san-leandro-2,91694,cbunynpdgl
boba-guys-san-francisco-15,22705,pcmlebxnmc
alice-street-bakery-café-oakland-2,62250,sxlovxljds
pho-lee-hoa-phat-fairfield,40317,rkuptgelsd
quickly-cupertino,61228,jpmxewkmop
bubblecup-san-francisco-2,94617,eehbobnzim
bambu-san-francisco-3,26453,mvwhskrqto
super-cue-cafe-san-francisco-2,64845,bvruasadix
tpumps-burlingame,83753,ntxcyzzrgg
aroma-coffee-and-snacks-milpitas,97363,hntteunueq
dohatsuten-palo-alto,87041,inixlcbrgi
amor-cafe-and-tea-san-jose,50852,mdemcvqhpf
gong-cha-san-mateo-2,80049,gsodaplbvq
quickly-cupertino,41185,iyylzcdgys
craw-station-san-leandro,18923,fpythyvbln
bfresh-snacks-and-drinks-san-jose,23742,dhyzdjlfem
bambu-san-mateo-2,50822,duumkscxcb
tea-station-newark,65824,liztwcfoqs
blush-organic-frozen-yogurt-dublin,25175,xrkdhihdrd
aroma-coffee-and-snacks-milpitas,22768,duibbsbagq
foodnet-supermarket-san-leandro-2,53633,edbdglukfe
over-the-top-shop-frozen-yogurt-american-canyon,76214,wxiqiwmycz
soyful-desserts-san-jose-2,55597,fsjbcuirtn
gosu-san-francisco,64931,yiknjhgrtx
gong-cha-sunnyvale,29032,htvkpsxure
meow-tea-san-jose,22360,jaorlylcdg
poke-xpress-milpitas,22810,tmgplsylpr
i-tea-newark,32341,ihvfwyhaup
honeyberry-san-jose-9,50643,grsbzecvcy
mr-t-cafe-san-francisco,77988,lgaunkzweu
eggettes-millbrae-2,56321,gjwqvumqfh
icicles-cupertino,39318,cvllffwztq
teasociety-san-jose,26934,tyqymiypxr
cafe-junction-pleasanton-3,62936,qzkurxpbft
korea-house-concord,77204,qeimzliptz
myung-dong-tofu-cabin-san-mateo,53821,mhwjfwmgxf
lulus-kitchen-concord,61581,jmomiocknp
